feature,weight,std
suites,0.22171329655939653,0.1141567161763201
sentir,0.17710882751664134,0.08577914406917181
vagas,0.04600923539063086,0.07412577078875283
serem,0.041808255073532787,0.022490993211802153
suite,0.04078177360133076,0.042206897853183704
master,0.04062369089514862,0.05045112918818493
lajes,0.03002571426494279,0.06254499619060162
lareira,0.028531665489170865,0.0670447525800051
elegancia,0.021507072401227356,0.054783612206728
sofisticacao,0.018909727486560158,0.054137795006575416
tranquilo,0.016779912435857743,0.018541428432692034
dependencia,0.014073745329955084,0.050168465831678
residenciais,0.012921115670307707,0.026914350925356618
padrao,0.012536062059001797,0.05439262115855735
lavabo,0.01211251224102429,0.03958291757740901
piscina,0.009890405836065428,0.03434226070024403
abrir,0.008000630496729885,0.06751699523226487
fachadas,0.007253456286806242,0.042826370094461046
coberturas,0.007197734469485628,0.049697510809218255
empreendimento,0.00647374550796199,0.021695635942259643
concebido,0.006222677156077544,0.03459662231695188
dormitorios,0.006161369481049223,0.05533079630405035
exclusivo,0.0058479819689235225,0.043694127452786516
moinhos,0.005373077766989021,0.04937754922091335
conversar,0.0049424176410582076,0.02579317411377927
bela,0.004875041356812226,0.03646844680218657
especialistas,0.004645170618707197,0.013087712099812788
necessarios,0.004624185507508494,0.048461645615489976
nativa,0.004387452732775171,0.009373561664722477
sauna,0.004279684471212101,0.04516923809124768
unico,0.003963777326126022,0.04525720104567
personalizacao,0.003812572001263208,0.0318225687943762
blindada,0.003794087862584432,0.034488801861907656
proximo,0.0037671265962769523,0.015013073943958424
terreno,0.0037393597630644058,0.0403868590955855
memorial,0.003642618118467147,0.03862131270529086
luxo,0.0035851464772393656,0.0360904102743439
vista,0.003396432486855493,0.031010835546053765
privativa,0.0032999415798346914,0.010108853917296526
tempo,0.003240590563748648,0.031991091347133675
centros,0.003170436427481006,0.042103915799614755
traz,0.002989692269453342,0.035883738722431675
adega,0.0029871617328896785,0.05821823446205774
gastronomia,0.0029209739561921843,0.029655191156044095
deposito,0.0029114130419697387,0.03339013371610859
guarita,0.00276670743372338,0.00984663230708411
apartamento,0.002760621062909817,0.020601024785110642
cozinha,0.002606845186697971,0.029797782995024724
dormitorio,0.0026050369992078075,0.03649551253147841
pagamento,0.0025221719046937875,0.06422388616835382
varanda,0.0023912558451616274,0.030093745085663124
horta,0.002354993385139115,0.0028819941959395794
seguro,0.002343744116758033,0.04395258954731183
requinte,0.0021872046440522333,0.04358976854398522
ventos,0.0021444402712406294,0.01074397873629735
criar,0.0021233443089661267,0.023114313728027792
verdadeiro,0.002077572648815863,0.028149137795292475
aquecida,0.0019862579337420476,0.03051356453314264
porta,0.0018940337154631146,0.0162401334748707
futebol,0.0018870696744470723,0.017147417519694598
privativo,0.0018845566968024876,0.021077042299171872
raia,0.0018625429055104015,0.028554828333984532
filhos,0.0018356591843816685,0.0325484948070155
condominio,0.0017303845111981994,0.03194011145744385
falar,0.0016957069620784095,0.01869476337872478
gerador,0.001676560290482748,0.027641454993470285
57,0.0016574068697596278,0.048378545568869245
sacada,0.0016490734327644697,0.04370062381432662
especiais,0.0015986077057202081,0.030526190753018222
especial,0.0015750340158553595,0.026519999397497957
tv,0.0015523442137144042,0.0316433435479319
voce,0.001545111159989833,0.002709492072000587
individuais,0.0014017879285481568,0.022413156965416254
carros,0.001364120853979361,0.02386728271600198
balcao,0.0012577092163641294,0.011884567995113901
sendo,0.0012126432708842257,0.021831578413947044
56,0.0012028303390217224,0.018067988893637876
projeto,0.001155152331564571,0.04104761070713449
55,0.0011014653158084298,0.0161493294119762
feito,0.0010932740154740836,0.03671371580176321
unica,0.0010874915823980802,0.048141890723097505
condominios,0.0010623658173150284,0.011188631912796858
lugar,0.0010602095552620597,0.024496814256116196
integracao,0.0010525333753950111,0.030065776691882908
detalhe,0.0010285938991315324,0.028845553271220563
belissimo,0.0010222371119944019,0.030116245369937733
intimo,0.000976968789674021,0.03209629502187198
fitness,0.000953794359357112,0.01683704495059051
outros,0.0009090979293700414,0.009691961466136623
elementos,0.000898821042011516,0.03728825720893857
todo,0.000890081205956024,0.025876769782691256
valorizado,0.0008849836012920628,0.0023525869940391048
caldeira,0.0008660888384000404,0.02576048524543696
completa,0.0008576926926851694,0.02265263812714645
cenario,0.0008561924218117412,0.02403389893985487
encontrar,0.0008502378049493821,0.013505477418573497
encante,0.0008310706844223904,0.03521018108279453
desempenho,0.0008096688294601814,0.0490901843070389
living,0.000808247059393833,0.006158208944908087
luxuoso,0.0007995839562383178,0.0189449161501801
unidades,0.0007916396333243685,0.025669777591341952
moderna,0.0007904121475781068,0.03810038909806347
closet,0.0007883458641240496,0.022705326305279484
terraco,0.0007830803355514299,0.006711138151041051
360,0.0007767298541837337,0.05876248370754061
03,0.0007441567740043863,0.010388184066434642
contemporanea,0.0007238390255809822,0.009807331880453133
lazer,0.0007168367170476499,0.002351575858985495
maior,0.0007057581508438684,0.020029129308365166
cobertura,0.000677462680713482,0.014543576163415365
privacidade,0.0006742386249829568,0.014277730725625255
conforme,0.0006737237296807714,0.01904428076801857
internas,0.0006735840642698178,0.020828090260983256
gabinete,0.0006722992808638525,0.02177153269534649
garden,0.0006500907986898312,0.03193339121897438
horas,0.000615850197941223,0.03124037861919233
momentos,0.0005728911132542422,0.017027007854089733
entradas,0.0005721009548326459,0.01834770061038032
granito,0.0005641386355815154,0.011946244596945337
tipo,0.0005473519523266914,0.016828643121673627
pastilhas,0.0005467343703627779,0.030623757830563557
tudo,0.0005434993792678833,0.0049240430984646396
churrasco,0.0005395134989164004,0.03637803949875795
