feature,weight,std
suites,0.2187603112614111,0.006340364157973581
suite,0.05921837000910104,0.0018837846369556175
vagas,0.026346145029974323,0.0016478902795727685
master,0.02328766578851098,0.0013611347244805996
elegancia,0.021571936797037172,0.0011121498006531477
dependencia,0.01566670192716497,0.0013503031957021981
lavabo,0.01520910689833439,0.0014915738232277973
lareira,0.012821359135961496,0.002289748868870621
bela,0.012560145443865545,0.0008969810479435702
unico,0.010797828851605452,0.0033976467505409014
conversar,0.007655699179606845,0.0002854046215044356
sauna,0.007356673288908944,0.00033146846980477756
bem,0.007076341344087522,0.00387290736240804
acabamentos,0.006854014818802767,0.0008781999348610162
vista,0.006606618817567056,0.0007267283875597136
piscina,0.006605989238660714,0.0012096936165323917
02,0.006004304531079141,0.001132356985887215
alto,0.004256693842131898,0.001543638263212901
nobres,0.003768584963328503,0.0008194871187603756
intimo,0.0037530743531239974,0.00021470326587028765
sala,0.0036343175916218494,0.0006560108279901816
kids,0.0036171448139229235,0.0005915869661104456
projeto,0.0036004715183658,0.0008518653941801931
moinhos,0.0034907598744421176,0.001004604799968362
sofisticacao,0.0033503541602941888,0.0010703755168791843
cozinha,0.0032004286303194407,0.0015232964526677335
vento,0.0031779263870191253,0.0005171158549105346
garantem,0.0030783503587908266,0.0003178763864213188
americana,0.003063461208042484,0.0008036260584339697
padrao,0.0030186181075381622,0.00027553138818906713
sacadao,0.0027233382852905217,0.0002270780921298373
detalhes,0.0026898236446806223,0.000520365787662145
terreno,0.0025942977741491456,0.00024269557674123763
closet,0.002565912032806672,0.0007605638360963572
aquecida,0.0024617950441554017,0.00021638774227077342
estar,0.002401483906602908,0.0004950827671109464
tenis,0.0023737890929149907,0.00024330455046717915
dormitorio,0.002358284563479485,0.00044690550329802423
predio,0.002297503670199719,0.0013781102829925835
termica,0.0021313523438476257,0.00017129719062125616
fachadas,0.0020037315248446984,0.0004731085501353597
completa,0.0019856357759533206,0.0005269439944609677
dormitorios,0.0018473735186840257,0.0009541771219315912
privilegiado,0.0018049040404669147,0.0001522709634851999
nao,0.00176492724555235,0.00023200367554742827
terraco,0.0017298106569562765,0.0006079511437423977
condominio,0.0017135474491418944,0.0005516718469846238
empregada,0.0017050777267936467,0.0005231138734083383
varanda,0.0017038106530126384,0.0005398371762921084
privativo,0.0016738822758421757,0.0002623470458911132
quadra,0.0015878664679804145,0.00041180671887330975
gerador,0.0015677438419659407,0.00019374993396057203
ambientes,0.001344132287217925,0.0006287948756904314
sociais,0.001299816874942339,0.00020225212640416807
guarita,0.001192442273369254,0.00013155456833068512
servico,0.0011872750218500983,0.000311756876769054
moderna,0.0011688855377101292,0.0002535994424719741
ventiladas,0.0011660189663030619,0.0013632591896469825
deposito,0.0011429723005768055,0.00013595864120988495
massagem,0.0010636461444995416,7.519527717759534e-05
proximo,0.0010439601740489302,0.0008516308534559294
encantador,0.0010165633755976789,5.5520524540301484e-05
lazer,0.0010097971651306104,0.0003522568961236403
sacada,0.001002235978817234,0.0010351395120595716
auxiliar,0.0009854786556111827,9.348612122864937e-05
privativos,0.0009502778482445518,0.0001687421400545335
arquitetura,0.0009401253117138353,0.0001146394440238489
encol,0.0009245819184377835,0.00035971231573568964
traz,0.0009078885785335,0.0003697315503470049
garden,0.0008877237742016319,0.0003150273500208859
requinte,0.0008477882543250548,0.00010436189804827902
tera,0.0008374253405367682,0.0001081292674957805
estacionamento,0.0008349183242853497,0.00019779510693288509
