feature,weight
suites,0.2618663459805189
bela,0.06750972239983502
suite,0.05637510497936894
elegancia,0.044758512498978296
master,0.03774190260224861
fachadas,0.018775870572625253
vagas,0.018424296374398123
conversar,0.018104590407143697
lavabo,0.017003435005126744
proporcionam,0.01433206044403807
bem,0.014152596672364133
endereco,0.013886052520288048
lareira,0.013580219590471423
piscina,0.01225947937809421
sofisticacao,0.011452819889632086
dependencia,0.01144969550502829
cm,0.010760378433726335
empreendimento,0.009996537818069666
unico,0.008985539235548469
vista,0.00781516966783142
luxo,0.007426082987093877
ha,0.0073582941988289555
acabamentos,0.007283068961854633
privilegiado,0.007249538043775867
privativo,0.007050124120923563
projeto,0.006599331007905949
ventiladas,0.006582649602086373
sauna,0.006270414266057777
nao,0.006112209177016548
25,0.005924616338422562
voce,0.005814781040751136
cozinha,0.005731429835948241
ambientes,0.005584802648498837
padrao,0.00500148932973181
sacada,0.0049506663376374
dormitorios,0.004756587622005353
maior,0.004336975665353047
sala,0.0042039407174696815
traz,0.004048662074858633
sao,0.004006194760411136
predio,0.003928111798063567
moinhos,0.003845210896438305
alto,0.003637199432243683
garagem,0.0036105854424487156
empregada,0.0035315416159699665
closet,0.0033614478667775434
proximo,0.003281109018136015
plena,0.003201285728801813
completa,0.003192793856526971
vento,0.0031285998784121934
verdadeiro,0.0031213860162362483
fazem,0.0030712518816729604
terreno,0.003049079166091931
belissimo,0.0030480104504937142
02,0.0029772174371527505
uniao,0.0029322296362333787
estar,0.0028787341339844208
blindada,0.002648286108129096
churrasqueira,0.002606781903287472
fitness,0.0025565525406935265
apartamentos,0.002383116123489509
nobres,0.0023810387734586234
terraco,0.002362219172532685
requintado,0.00216593198348242
condominio,0.0021602067855255604
gerador,0.0021503022237287246
area,0.002134932274647937
apartamento,0.002091043472398395
intimo,0.0020624011461549616
exclusivo,0.0020505231176676506
detalhes,0.001994678698912001
sol,0.001971614625191699
familia,0.0019109895894146784
vinte,0.0018921248028659853
hidro,0.0017318476789249771
24,0.001672492782872074
localizado,0.00165950065272504
deposito,0.001627722205698285
dormitorio,0.00161234521042444
americana,0.0016045754460868671
metros,0.0015946305638624434
mao,0.0015861481500540325
sofisticado,0.0015630331298489382
hall,0.0015432977396826753
abrir,0.001519501662237759
privativos,0.001444016966409597
vaga,0.0014437511607958294
arquitetura,0.0014305345056062884
vao,0.0014276698489768924
varanda,0.0014111624982826934
anchieta,0.0013058958795831002
cada,0.0013010683220486409
jantar,0.0012929593200288545
gabinete,0.0012835932712806433
encantador,0.0012700987953655608
sendo,0.001244895455663325
