feature,weight,std
suites,0.23289670328751333,0.008979065055311949
suite,0.05684156612406839,0.002451946407636904
master,0.026403111879619835,0.0014556744127315186
vagas,0.024065300664827326,0.0007798355781604397
elegancia,0.02192570212642324,0.00119555276414818
piscina,0.014206050899200217,0.001978055608090288
lareira,0.014171754270849556,0.0021339797731974607
lavabo,0.012813337660637835,0.0006714469753158263
dependencia,0.01277966639992032,0.001642514625213387
unico,0.011662961951251294,0.0046828626391784
conversar,0.009917438976891724,0.0009493379444118671
bem,0.008342505487207785,0.003981770410946455
acabamentos,0.007271150729079845,0.0007011908514987742
bela,0.004861934192664364,0.0011994266378752023
empregada,0.004851450797450152,0.0007705432364492356
sauna,0.004487045808713308,0.00024647670343919446
cozinha,0.003948121139705285,0.001604437451659265
terreno,0.003878007910805681,0.000939652261735491
02,0.0038370099956579694,0.0007034862958471427
moinhos,0.0037175840439209297,0.0005535610496255737
closet,0.0036518561532703497,0.0004269402319875145
cadastre,0.0036000556722139755,0.00011954586142835628
padrao,0.0034849872506140358,0.00047963811985349833
vista,0.0033095643739241565,0.0008887419551639912
sacadao,0.00321098544172862,0.00010708505827635164
sociais,0.003146636646011247,0.00035672303962493634
dormitorios,0.0028955536408065362,0.0004559727499195479
kids,0.002651783152813003,0.00028995124006885324
vento,0.0025346856871349744,0.00039611215424059936
dormitorio,0.0023547076438915626,0.00021993538731847963
completa,0.002222622882876646,0.0015422896573535044
detalhes,0.002221401467480999,0.0002747052602168461
endereco,0.002152824094681405,0.0003216683052222214
ambientes,0.002127230000236291,0.0009503748516674371
nobres,0.002119635298455358,0.0005393730366575661
seguranca,0.0020525155918239115,0.0003779587178995713
bairro,0.002000689274402867,0.0012936214975576056
varanda,0.001988723425486616,0.00025454186128314463
fachadas,0.001960469536517362,0.0004591736420511707
blindada,0.0019156992267155947,0.0017135251769296843
churrasqueira,0.0018261999439935339,0.0003632580683204025
sacada,0.0017796184454710539,0.0010759175897711846
gerador,0.001715834056029264,0.0003753169412848452
tenis,0.0016663546057372526,0.0004168293195166676
apartamento,0.00160727792487112,0.0012217471512443931
intimo,0.0016008290347357956,0.00023335941665606676
alto,0.001549506019183977,0.00016106039585226135
condominio,0.001524317754281368,0.0003433478574182435
projeto,0.0014713314737919703,0.00036975007122018374
area,0.0014201241610171556,0.0009920983499251018
especialistas,0.0013220331980221545,0.0005284756471684889
quadra,0.0013126254623248013,0.0001531757363394053
garden,0.0012104948421015837,0.00033634881621463737
arquitetura,0.0011659408506132119,0.00025660562054130554
plena,0.0011330953724560723,0.00047034713283086754
coracao,0.001116030115265687,0.00039156142433046585
proporcionam,0.0010943494526488128,0.000868665234498904
carros,0.0010378072370568648,0.00018287343849255141
moderna,0.0010323702866856133,0.00020376430222454118
empreendimento,0.0010239005748319929,0.0006548594081789547
codificados,0.0010194032219217775,5.640217744721363e-05
auxiliar,0.0010108327741608746,0.00015116660274262374
massagem,0.0009967549348716132,4.315152023017965e-05
vao,0.0009181830215875486,0.00028940156195040266
25,0.000905757596947443,0.000175394794218519
coberturas,0.0008697403109330537,8.250941895799549e-05
vida,0.0008624637433817916,0.0001940138529122852
regiao,0.0008507575249592891,0.00014264481413223936
torre,0.0008461899876417434,0.00033087742109284027
viver,0.0008436095771820363,0.0006814765278010338
sala,0.0008283044341875545,0.0005876754408674746
privilegiado,0.0008068084060393277,0.00030350422846634113
encol,0.0007897897363329465,0.00044308296858377647
privativos,0.0007699460878367148,0.0003986858822410342
altos,0.0007644805650692587,6.796833689834631e-05
visitantes,0.0007568820987972735,8.447537076406728e-05
deposito,0.0007561997940246368,0.00010341857542658211
estar,0.0007531541793027285,0.0006459264262147506
sendo,0.0007379071842512186,0.0003257237272156479
servico,0.0007161115380391436,0.0002847555868974062
aquecida,0.0007026049893830155,0.00019434452133258224
tera,0.0006934591834677261,8.968573055578395e-05
dupla,0.0006927194292361882,9.731799704280352e-05
ter,0.0006905292061891277,6.107579052855991e-05
corretor,0.0006770427943425305,0.0005229581790209772
gardens,0.0006751644616245223,0.00012037998436727945
gabinete,0.0006631378911008623,0.00025797028072781805
terraco,0.0006591372014542962,0.00021316746848735031
fitness,0.0006445417235892536,0.00013754983942328733
cm,0.0006170446583874556,0.00024352003618398297
internacional,0.0006153477388396667,0.00013262151066547237
nobre,0.0006147643344401876,0.00024097151333108484
vaga,0.0006116209844942766,0.0005194796042222879
