feature,weight
suites,0.26089334495362304
suite,0.056119072428505744
elegancia,0.046151049200673755
master,0.03315809355668605
endereco,0.02290654435196378
conversar,0.0205096048214247
bem,0.01983851597020443
fachadas,0.01914185734207066
lavabo,0.018551945428687013
vagas,0.018362994601736644
piscina,0.01785129678584825
apartamento,0.017008901339447293
proporcionam,0.015331324199375032
lareira,0.014599100985325481
dependencia,0.014382472764799935
unico,0.013114647485956862
plena,0.01301271333848207
cozinha,0.012700445427064711
privilegiado,0.012588392773209096
viver,0.011712063669193262
voce,0.010773534239603049
empreendimento,0.010389893962598745
luxo,0.00985145582991536
terreno,0.009198722970005103
cm,0.008998854177970082
bela,0.008718305618225865
sofisticacao,0.008628214420524957
privativo,0.007913931684885245
acabamentos,0.007780018357823286
ha,0.007047072722154114
vista,0.005927854767545882
requintado,0.005907839901069112
area,0.005824923814278885
empregada,0.005804596971033676
padrao,0.005763197873157602
sacada,0.005728761241814324
blindada,0.005128336694946693
churrasqueira,0.00474177972287199
belissimo,0.004583360614690726
maior,0.0045001251668476995
projeto,0.004419576439709112
sauna,0.004325522342735074
completa,0.003926398529532657
living,0.0036284889214201893
dormitorios,0.0036156543530707326
vento,0.0035615111405618172
closet,0.003317922449932428
moinhos,0.0032486785882177354
serem,0.00297403456306426
sala,0.0029578260986168883
cadastre,0.0029113338607941568
varanda,0.0027839864487167747
25,0.0027406118664347764
gerador,0.002706081739175744
detalhes,0.002626222748849989
verdadeiro,0.0025917279856149974
vinte,0.0024908383876934286
predio,0.002407512554620935
mao,0.0023588036124365234
garagem,0.0023191867227541096
ambientes,0.002265418004822343
privativos,0.002243326217623888
traz,0.0021996319811640945
abrir,0.0021843348752028733
alegre,0.0021776639502431227
especialistas,0.0021709623293433788
fazem,0.0021300591428009418
regiao,0.002129197397774965
alto,0.002107491056248717
internacional,0.0019971513139200865
condominio,0.0019906571118287883
hidro,0.001860557721752314
sendo,0.001851301209690689
salao,0.0018155604857867016
arquitetura,0.00179742714619672
carlos,0.0017527818328138278
dormitorio,0.0017446075437161166
vao,0.001695426451129396
bairro,0.0016353757604520933
intimo,0.0016181981877851448
kids,0.0015867904814026435
deposito,0.0015751170386912364
estar,0.00152623010936561
ventiladas,0.0014963570684874562
moderna,0.0014877763314485547
cada,0.0014517176285624264
conta,0.0014439778082378754
02,0.0014280479289647814
vida,0.001398189678571235
apartamentos,0.0013894024308634778
garden,0.0013882255038705077
jantar,0.0013497537179426049
seguranca,0.0013331756886230384
nobres,0.001304219975570906
gourmet,0.001296378853165405
fitness,0.0012510991652411058
metros,0.0012292364908402806
sociais,0.0012260930019471034
anchieta,0.001133662159973844
deus,0.001117863297985726
coracao,0.0011150090796317482
gabinete,0.0010213059847731533
carros,0.0010177693166389516
contemporaneo,0.0009971870396151706
