feature,weight,std
suites,0.22959432781808237,0.008819307424518391
suite,0.058542603410981296,0.0024210568491116135
master,0.027405578905812057,0.0012171975644009246
vagas,0.025910794625724386,0.0014640438576639851
elegancia,0.024130592859481402,0.0010570822702210382
dependencia,0.02024039900395864,0.0018820090476273455
unico,0.01679408854134774,0.0049441178218554895
lavabo,0.015123338285427512,0.0016937807337249564
lareira,0.010959593575760485,0.0021279516385938222
bem,0.008912169512178747,0.003572892113607386
acabamentos,0.008075905198399846,0.0009713733610699225
piscina,0.007788379881148022,0.0012654417417177954
02,0.006289806912813134,0.000773168568733689
terreno,0.0055625921038737315,0.0003397370562651847
sauna,0.005079796797517111,0.0005066744852593604
conversar,0.004782661392600041,0.0008488878671800761
dormitorios,0.00466399307286316,0.00045838707932693303
sofisticacao,0.004428683140409384,0.0008758696832494926
alto,0.004012218195947969,0.0018724813175739275
moinhos,0.0038922752052357847,0.0005719789720517065
vento,0.003663812552656931,0.000616362495233844
cozinha,0.003603679129184534,0.0019431515867648157
americana,0.003566101225309026,0.0010823916643978753
empregada,0.0034763073539158416,0.0007120432549585745
vista,0.003461901973497228,0.0009298837403732879
endereco,0.0033020927683427015,0.00045658555900042003
intimo,0.0031190885603880948,0.0004749588324748599
padrao,0.00297120540171687,0.00037613596970490523
gerador,0.002592641630468884,0.00026290440367528824
sacadao,0.002554004311131597,0.00015845976377048645
dormitorio,0.0024713069545217346,0.0001964719955433394
termica,0.002328437826112739,0.0002811307641067105
ambientes,0.0023061406835671373,0.001361513239066365
estar,0.0022471974042305386,0.000490417191463166
sociais,0.0020986321818869946,0.00019436899679401253
condominio,0.0020218001733408597,0.00040497495571955596
fachadas,0.0019294444057077697,0.00032131329812518176
detalhes,0.001903971806496707,0.0004089416039950357
vidros,0.0017975351254071238,5.620255084651447e-05
proporcionam,0.0017862219539032554,0.0007317161085024069
closet,0.0017767097058670523,0.0006437259664917776
arquitetura,0.0017420917362240384,0.00020499568299844545
bairro,0.0016727564198505628,0.0003170700669127753
lazer,0.0016591010561036069,0.00017444341398783098
guarita,0.001655609460656815,0.0001145312382212277
terraco,0.0016131088844138608,0.0008538120879434207
privativos,0.0015975619886522629,0.00029982445036540797
kids,0.0015648835844550347,0.00024385889687453778
privilegiado,0.0015406543353907232,0.0002765890701196299
traz,0.00150628120804559,0.0005269136776333917
varanda,0.001412702694552559,0.000454904942414419
encol,0.0013488884750335606,0.0005408355678865593
nao,0.0013473876817233998,0.00031261434719836426
ventiladas,0.0013106759249069233,0.001304818836607656
anchieta,0.0013086370312016982,0.000456171920164615
bela,0.0013067358578506606,0.0006764987343669306
gabinete,0.0012780203033464054,0.0002415445724506968
servico,0.0012728717579696402,0.00015126824405638188
churrasqueira,0.0012584675594979444,0.0008291928118479728
vao,0.001257840991249637,0.0004643120991359029
nobres,0.0012341504939644699,0.0005040838756991171
massagem,0.0012226192115759149,6.700183810655756e-05
lado,0.0011819924383780211,0.0005364208068973661
privativo,0.0011124332853410745,0.00037708647794623364
verdadeiro,0.00110131697226028,6.411156702031796e-05
tera,0.0010872043258256746,8.150504412980953e-05
completa,0.0010592319257238137,0.0003485577946095575
garden,0.0010462261861072576,0.00024920786504337524
apartamento,0.0009810064395231466,0.0005829169446055705
fitness,0.0009751151836590921,0.0007367511504414325
agende,0.0009594703059895293,0.0004614301775189441
plena,0.0009362660081142949,0.0004292730220541277
aquecida,0.0009214618278782893,0.00010494632665686098
fazem,0.0009213109595628488,0.0003530083097083009
portaria,0.0009167467276738117,0.00040256996749311847
requinte,0.000862890761093027,5.352391729918055e-05
seguranca,0.000858918662962349,0.00023059861053975977
vida,0.0008017424300051701,0.00012642570571391685
spa,0.0007721621011775204,0.0002949497852260068
corretor,0.0007713280898142382,0.00043502661792365054
elevadores,0.0007710268271434284,6.47098007658969e-05
surpreendente,0.0007638360407994371,0.0001698360793417317
auxiliar,0.0007570152699109434,0.0003236140447883484
sacada,0.0006944670700546052,0.001159092982304696
magnifica,0.0006902604737685447,0.00010314933321208256
despensa,0.0006730477258600764,0.0004658713080439526
garagem,0.0006677511132175074,0.000989295489877628
dupla,0.0006516728585635123,9.460119022171639e-05
viver,0.0006415525791936272,8.429111399550808e-06
momentos,0.0006339384419100424,0.00019335089934267792
vaga,0.0006321198482112988,0.0004775605267209036
sol,0.0006290468577092367,0.0002055247879353057
contemporaneo,0.0006135772320737364,0.0002546968973842001
cm,0.0006122340944325177,0.00021410948665463402
fachada,0.0006087770811810111,0.00017517303426432032
belissimo,0.000601134806095005,0.000822085395241831
forma,0.0005933209927677207,0.00019589276723802919
moderna,0.0005919115278054665,0.00023904694822053164
raia,0.000585907639808192,0.0001783043314506887
tenis,0.0005801703765192734,7.043629405177314e-05
americanas,0.0005773507291474189,5.73963779536769e-05
garantem,0.0005735356571316297,8.658458465690028e-05
salao,0.0005657156369066385,0.0003578000313185202
entrada,0.0005364942161452779,0.00019682314836953055
tendencia,0.0005316302271570539,2.0098957136750272e-05
estacionamento,0.0005153855335534807,0.00016325029703422885
coberta,0.0004968531510155972,0.00014365340937020482
praticidade,0.0004739920763855876,0.00021229336754014224
tradicional,0.0004681277740421708,7.03143893700364e-05
deposito,0.0004493784477430207,0.00034529101560558243
codificados,0.0004414554945925353,2.2248664999803075e-05
quadra,0.0004366754246983184,0.00027975633190202484
adega,0.00042922467916797216,0.00012886493225063887
duas,0.00041524190321313715,0.00010403204669583482
termico,0.0004139926287948681,0.0001377891195130953
presente,0.00041052832007506537,0.00014255249143519484
jacuzzi,0.0004060578923849922,0.00013446427755416207
jantar,0.00040195443348569617,0.0006899432129027246
ter,0.00040170597964053203,4.27163897695437e-05
sendo,0.0003989039717503751,0.00029789013621024744
requintado,0.0003958300845050111,0.00017457616733042994
privacidade,0.00039020223447521206,0.00010173354441321744
modernidade,0.0003881143610084736,8.429356676187272e-05
proximo,0.00038529355988961014,0.00038340214875104346
guaiba,0.0003826996765505353,0.0003374930741150411
nobre,0.00038059894313333673,0.00011769591977051372
apartamentos,0.0003736721791967934,0.00021110463380460354
petropolis,0.0003558849414821763,9.983275321261121e-05
shopping,0.0003501478816519521,0.00011096700194078859
residencial,0.00034276409526570186,7.451621050658118e-05
24,0.0003351526331280219,0.00014312064785074725
visitantes,0.0003268053097628343,0.00021079178624836882
rooftop,0.0003163364542635216,2.6203749457632096e-05
copa,0.0003076757781701689,6.624868665168375e-05
pre,0.0003035647870108127,1.872232207171309e-05
condominial,0.000294899306566232,0.0002062618664386575
03,0.000286024498193882,0.00041261248050024774
independentes,0.0002850351980150156,1.3447637481355872e-05
coberturas,0.00028445105616048405,5.6466191349966665e-05
ilha,0.0002803338869773464,0.00013450188532639472
regiao,0.0002785173008813979,0.0001971708539457656
jogos,0.0002763479032939165,7.529839622373302e-05
carros,0.0002741975735416569,0.00014939297718278912
plantas,0.00026189785804757725,6.764539005142312e-05
duplex,0.00026080651606532614,3.957246641622204e-05
localizacao,0.0002597896560157631,9.725568119276125e-05
parcao,0.0002548980074760232,8.634516492919998e-05
interna,0.0002537613325867882,8.686199234489439e-06
churrasqueiras,0.0002524706557166079,7.132993115226724e-05
altos,0.00024969183108551895,0.00013228009609127567
onibus,0.0002484781261863578,0.00029139712044621435
infraestrutura,0.0002478163616829843,0.0004073654601487793
design,0.00024702220913597195,0.0001557937471497795
unidade,0.00023841624531628636,7.680525921922589e-05
financiamento,0.00023557118815391575,0.00013223283604426954
urbana,0.00023429703237920485,2.152172636994942e-05
05,0.00022422478342301044,3.3510724901746976e-05
aquecido,0.00021841189596794042,4.2265430447183515e-05
visita,0.00021645761008852736,0.00041002893634942004
rio,0.00021002244137657833,5.954208479756709e-05
andar,0.00020093763797492947,0.0003279575605388252
maravilhoso,0.00019642199522034164,3.8583356735511126e-05
granito,0.00019560737692545516,0.00015715452524719218
descanso,0.00019379329433744097,4.307101004977935e-05
playground,0.00019295102313028335,8.964269320256766e-05
vinte,0.00019249888474814902,0.00011619368063776146
aquecimento,0.00019249635691815926,6.314752873182007e-05
sensacao,0.00019248516753391786,6.442403715986171e-05
uniao,0.00019040541837591629,0.00017348701590690232
caldeira,0.0001884953032613268,0.00014066163051837475
encantador,0.00018644186574643396,4.510605915597146e-05
espetacular,0.0001850086523122796,9.371505193295406e-05
residence,0.00018360063527689263,6.851504889922023e-05
charmosa,0.0001825060292395264,4.0188731655242863e-05
hidromassagem,0.00018100684987791825,0.00018354980526608968
area,0.0001796384909725557,0.0002600988057580985
especial,0.0001767579840709299,6.628560788645526e-05
contato,0.00017493214527981583,0.00020831905159813773
pele,0.00017088533026945462,5.176453951714349e-05
impecavel,0.00016776942829752617,5.8009631183455355e-05
av,0.000166057025358457,0.00013479817156245843
quatro,0.0001647250349900764,3.85885244127019e-05
nova,0.00015923595631393007,2.938747269566807e-05
transporte,0.00015907826843806206,7.415150406876373e-05
cameras,0.00015859586531443703,6.845709098129575e-05
informacoes,0.00015018271092908097,7.549170734665555e-05
revestimento,0.0001445976977740182,4.302898931493442e-05
04,0.00014330848820434116,0.00011478850331802998
tecnologia,0.0001427172219657935,4.3326881210584576e-05
cobertura,0.00014132677610159127,6.321010040832193e-05
banheiro,0.00013895549229656635,0.00022869011190948933
lobby,0.00013692528325572883,1.947165449925359e-05
pastilhas,0.00013117120963848094,3.880845984734418e-05
fim,0.00012859085566920835,4.568988250983273e-05
decorado,0.00012639575118651437,0.00017715626436973916
escriturada,0.00012539300233396222,4.4657345084817603e-05
paisagismo,0.0001247408715564502,5.6751932847977405e-05
banheiros,0.00012318673005484726,4.461895517683178e-05
qualidade,0.00012144342388222817,0.00016339771704971788
obra,0.00012015636018802844,4.201699209457697e-05
casa,0.00011816995165851996,5.805430858570924e-05
pe,0.00011808188806250453,4.676568997187128e-05
moradores,0.00011788439019211339,1.904170066932839e-05
esquadrias,0.00011528910227744937,3.623788214453771e-05
sao,0.00011519410005687015,5.927641944367678e-05
tambem,0.00011469319172043856,0.0001034384707191475
14,0.00011205069924928868,7.304809135031011e-05
cavalhada,0.00011170502807484883,3.120210217720849e-05
novo,0.00011052699733145044,8.671871240502419e-05
residenciais,0.00010240011649749192,7.409917795853586e-05
elevador,0.00010221246489472424,6.656763227494292e-05
ipa,0.00010175955003695058,3.15800918283622e-05
serem,9.975125457803991e-05,8.085460449625348e-05
amigos,9.834332162665938e-05,7.239985825531555e-05
desde,9.641287847552693e-05,7.399408414166096e-05
detalhe,9.49520085985256e-05,5.0665172474102305e-05
controle,9.460682678505972e-05,3.764054788344035e-05
sacadas,9.124754639375788e-05,4.7210246283883716e-06
79,9.022214077949453e-05,5.412028055789572e-05
conforto,8.931148180877369e-05,0.0002666367017192513
bicicletario,8.802388459960842e-05,3.7120485383515285e-05
160,8.663929509533652e-05,9.39895641161037e-06
salas,8.297585605028246e-05,6.795766937894847e-05
deus,8.2654610793087e-05,8.485317986669707e-05
anos,8.224890512191774e-05,3.7520170330895527e-05
exclusividade,7.763622159602246e-05,4.2390947450224774e-05
areas,7.597681681337232e-05,1.463504853582959e-05
entregues,7.538134613225279e-05,1.2159441891442942e-05
separada,7.516401070772893e-05,2.150540972382721e-05
pensado,7.486089943127272e-05,1.2763258755567115e-05
todas,7.382913036357852e-05,3.4081512835586295e-05
momento,7.339928459286771e-05,6.908189422481762e-05
sair,7.331762219215942e-05,3.788375030988664e-05
projeto,7.291620404297206e-05,6.253644398015868e-05
menos,7.246677983951955e-05,5.233293372759673e-05
hall,7.221634388026033e-05,7.629388809628233e-05
rotativa,6.70695426520318e-05,2.42847385970887e-05
fgts,6.695148493949255e-05,4.375211672401077e-05
filho,6.538341985802276e-05,6.490981156535657e-05
diferencial,6.535669823237722e-05,2.3762081932893908e-05
blindada,6.383504568980846e-05,0.0001692655739663805
unica,6.327370642700281e-05,4.113081826870732e-05
avenidas,6.27916746674062e-05,1.9954874668114994e-05
dois,6.196897799390922e-05,6.889542403339075e-05
conforme,6.155735474488999e-05,4.1872138562993756e-05
sala,6.088196677873636e-05,5.200554603924205e-05
completas,6.01259799500653e-05,4.6124572298033495e-05
aqui,5.870631753484013e-05,2.0578052008751667e-05
valoriza,5.775085552619519e-05,1.2644062370588482e-05
zaffari,5.672150615334548e-05,0.00014126290529320836
carlos,5.6064585302850746e-05,0.000323358690250008
iluminacao,5.192883259295122e-05,8.358766976931648e-05
gourmet,5.0956949036384816e-05,0.0001057286553055167
ceramica,5.004326166870854e-05,1.3375473437144153e-05
molhado,4.6660875872373e-05,1.4330532222231669e-05
porto,4.616180518777213e-05,2.4361105231160367e-05
todo,4.602231189969608e-05,2.9808462723139346e-05
nome,4.4812759836143634e-05,1.6769890953776686e-05
especiais,4.4712826805848316e-05,7.341588404547951e-05
