feature,weight
suites,0.2629015531856131
suite,0.05800483301740602
elegancia,0.048227918221630924
master,0.03753474815819428
endereco,0.024345804094311987
privilegiado,0.022049110765268103
conversar,0.021605056085771318
fachadas,0.017942425045562604
vagas,0.017846572863264534
bem,0.01782254388646323
lavabo,0.017578329607326568
proporcionam,0.01729265878569048
lareira,0.014430115706220669
dependencia,0.01331774020126569
piscina,0.012431799256160659
unico,0.012317257393689086
plena,0.011347792128978526
sofisticacao,0.011242432106087637
cada,0.010464054089577573
voce,0.009627243116575033
cm,0.009348477848310794
luxo,0.008738307495384548
acabamentos,0.008079983893146809
empreendimento,0.007985286629120193
privativo,0.006403618010012245
sauna,0.0061830397782016095
apartamento,0.0059387054665305935
verdadeiro,0.005632327467346354
ventiladas,0.005375304136742402
traz,0.005294338869609525
requintado,0.005280866814758895
cozinha,0.005215418973066285
padrao,0.005193311183050434
maior,0.00519274261999702
25,0.005188942450767433
ambientes,0.0051109996849434385
vista,0.0051097683118844365
terreno,0.005090822218458906
sacada,0.005071495148279244
nao,0.0046413509519290415
dormitorios,0.004295273985338145
alto,0.00422048436372641
vento,0.0036879317552044287
empregada,0.003390520161493901
onde,0.0032524142065694637
vinte,0.003211016837661904
seguranca,0.003147549201079808
moinhos,0.003131922714822412
gerador,0.003107129482329541
hidro,0.0029328419008574943
bela,0.0029179266438538578
belissimo,0.002908647250138
exclusivo,0.0028500695242856923
uniao,0.002846520012144125
completa,0.002833248813258755
terraco,0.00282518925204355
closet,0.002807139711510221
churrasqueira,0.0027995822520972234
fazem,0.0027056412574021998
intimo,0.0026935821643765336
02,0.0026441397615808884
mao,0.002422857931174326
abrir,0.002416514775352117
serem,0.0024155599748228273
vao,0.002362419160428705
localizado,0.0023264460120350893
fitness,0.002236843643389085
jantar,0.002226055886275648
sol,0.002199403692287718
spa,0.002197425429423814
garagem,0.0021926504118970525
americana,0.0021279347364814402
bairro,0.002014460999547427
servico,0.0019291127381695192
familia,0.0019174705901597092
anchieta,0.001858539124174344
deposito,0.00185089270817276
apartamentos,0.0018189036241925425
condominio,0.001716760107075034
estar,0.0017162959327193586
blindada,0.0017056488868560083
detalhes,0.001675504513700951
portaria,0.0016064205125190705
gabinete,0.0015563208399198337
dormitorio,0.001547881250489539
varanda,0.0015440560226087326
contemporaneo,0.0015253399089670073
arquitetura,0.0014919148780282445
conta,0.001455588396018303
privativos,0.0014276909650569741
nobres,0.0014148003829890464
proximo,0.001411628994926902
raia,0.0013261771592962366
conforto,0.0013015604792786975
sofisticado,0.0012922995340826078
vida,0.0012922516610912953
carros,0.0011977725666904955
frente,0.0011616985245138268
coracao,0.0011481465863022362
contato,0.001147106919758981
privacidade,0.0011296525451292626
dupla,0.0010890912851572465
hall,0.0010786784747997438
fachada,0.001070016639284176
encol,0.0010530877468148466
sendo,0.0010402408610611087
gourmet,0.0010169883862679347
andar,0.0009730428688521601
finamente,0.0009537407147605576
espaco,0.0009508948562640586
auxiliar,0.0009287334032164902
vaga,0.0009275379871270801
qualidade,0.0009124569446954563
alegre,0.0008943753655621504
experiencia,0.0008835386909352411
encantador,0.0008734726901651144
visita,0.000873277161262869
magnifica,0.0008710763756564718
lugar,0.0008557016008898695
garden,0.0008213200134953759
area,0.0008091817781548761
melhores,0.0008040535102912586
social,0.000794737044507827
pecanha,0.0007752605709598885
paisagismo,0.0007719488965141032
living,0.0007677891604116269
ilha,0.0007587577221413368
todos,0.0007495869403803826
tudo,0.0007412165872426006
internacional,0.0007392869087742912
jogos,0.0007387790508080738
salao,0.000735924752854827
moderna,0.0007242189821533548
20,0.0007228378584930341
agende,0.0007107345355999668
individuais,0.0007080185083848956
lazer,0.0006958402636111269
corretor,0.0006918567736849166
coberturas,0.0006582042557003684
projeto,0.000639559403877236
sala,0.0006318203147643003
guarita,0.0006310669093995483
entrada,0.0005933208201452803
infraestrutura,0.0005901607651485696
compras,0.0005887818589805637
facilidades,0.0005808759596787109
predio,0.0005653055699073608
momento,0.0005652087412916326
banheiro,0.0005629409495886853
lado,0.0005614640855918056
tera,0.0005561791775151644
carlos,0.0005535623036833853
aquecida,0.0005460295825073773
amigos,0.0005307932111614953
metros,0.0005233870860712529
24,0.0005160433443612453
visitantes,0.0005150518444047204
onibus,0.0004968167812091332
surpreendente,0.00047304474133245375
sacadao,0.0004693132296736428
distribuido,0.0004649475279164218
sociais,0.00046456534008119054
