feature,weight,std
suites,0.22748554071081895,0.0051886579273099165
suite,0.05478783231082289,0.0014785301861872369
master,0.03842104369908583,0.0010730737800993206
elegancia,0.030015899254976032,0.0019168941369563728
dependencia,0.028406734233846365,0.0022657895105878613
vagas,0.023996838057061164,0.0015114640838549474
unico,0.015186814879432586,0.005058429216637103
lareira,0.013824737283509081,0.0018144464015229173
lavabo,0.013210511336628072,0.001102118186760513
cozinha,0.009076024081217526,0.0027975080085895173
conversar,0.008701250959334628,0.0007197952951066742
apartamento,0.006362945803626796,0.0013070472031421556
acabamentos,0.006215389141392458,0.0009989891875443596
bem,0.005433033325422221,0.0033530480293543345
dormitorios,0.004917994435524764,0.0008134342308613357
intimo,0.004736755250317337,0.00028176456669635965
piscina,0.0042966077830959735,0.0016880440456759447
moinhos,0.004071863354973204,0.001168913543414163
padrao,0.003697441693254433,0.000668236117474725
sacadao,0.0036197163930229205,0.00033733887119790626
alto,0.0035082298542513657,0.0006146897414162228
02,0.0033453699929084204,0.0007015056347696012
sociais,0.003255340756695713,0.0005660625408322701
cadastre,0.003182386470873033,0.0003471100360476102
closet,0.003089427012412793,0.0005728522737419946
terreno,0.0029324509404946575,0.0007275762674656006
maior,0.0028229476308657244,0.0011255120259095494
ambientes,0.002649420544898007,0.0007796604604134285
sauna,0.002643348889644348,0.00021641587231770038
endereco,0.0026016700066018527,0.0003868083570781564
vento,0.002580245241216761,0.0005172170184002399
gerador,0.002405451449296736,0.0003245345767338439
churrasqueira,0.0023714223428976445,0.0003839200694397542
proximo,0.0022741854884454015,0.00024841616483068984
empreendimento,0.002212945938633837,0.000711469368704989
dormitorio,0.002152450366156278,0.00042239822870628323
termica,0.0019605787083519567,0.00016127494218051006
varanda,0.0019061893703707922,0.00038843564517595966
tenis,0.0019046969751634224,0.00010763228999957523
privativo,0.001707562071167268,0.00023417329706714474
proporcionam,0.0016882091843731795,0.0009161058396775116
garagem,0.0016488714152093965,0.00047011390686600094
blindada,0.001537726582347898,0.0010798518052254665
metros,0.0015039045449118272,0.0007593791594827382
massagem,0.0014978258993999516,7.145676809442327e-05
belissimo,0.0014028027100231543,0.0010508304207429225
regiao,0.001401198151148053,0.0003793793519441306
fitness,0.0013309612519490476,0.0003581638844411234
empregada,0.0013039495333146745,0.0006393598260858581
moderna,0.0012760133552892627,9.83060577091216e-05
verdadeiro,0.0012714662118513465,5.3644656369887305e-05
gabinete,0.0012122264892238776,0.00027908621784873683
vao,0.0012032218058600774,0.00039825695354983874
garden,0.001188351613628913,0.00025970953974291557
codificados,0.0011518359845787529,2.6004091328170016e-05
carros,0.0010840717693135992,9.679854368996313e-05
bairro,0.0010500440875232497,0.0006639976527453108
sofisticacao,0.0010441300310645829,0.000540662806043355
fachadas,0.0010367743851477985,0.0003199374712335261
duplex,0.0010270246961521456,0.00020868699803230784
americana,0.0009555238748062189,0.0004699343940964738
vidros,0.0009474136255973375,4.125894134626321e-05
encol,0.0009326588214775722,0.0003609060061386153
completa,0.0009326299803874783,0.0003884815892570573
dupla,0.0009176206447834234,6.156133749172462e-05
privilegiado,0.000914650466834388,0.0004397343973941671
condominio,0.0008840953035977872,0.0005537720611380911
guarita,0.0008638927338070479,0.00010611377203305723
arquitetura,0.0008586180839069479,4.718285801218828e-05
internacional,0.0008488840638077421,0.00018457816800825918
sacada,0.0007997356591237903,0.0010801122563501083
jantar,0.000774407865345772,0.00047738681012878594
auxiliar,0.000769016973320169,0.0003563355700999161
magnifica,0.0007648166969062009,6.925421778635285e-05
plena,0.0007386327529430136,0.00018854590858786473
guaiba,0.0007260636690124445,0.00035965863870675855
adega,0.0006764174974458248,0.00018376492916494957
detalhes,0.0006726743995211448,0.0001854655794444232
duas,0.0006467435391414478,0.00013037074472359617
raia,0.000637756042027604,0.00025955375999923443
vinte,0.0006252447830557894,0.00015513138403476767
anchieta,0.0005839200407727008,0.00018906250698773973
tradicional,0.0005782008073735411,8.604431680805938e-05
requintado,0.0005671257478349733,0.00024139531264874778
requinte,0.0005648410887083566,0.00021269315848984068
coberturas,0.0005273648041278278,0.00011893821178283891
natureza,0.0005181941965847869,0.00010451323804504885
terraco,0.0004921732934621614,0.00016083565950086208
playground,0.0004815404485247532,0.00013094680751383686
parcao,0.00045657678891417584,9.41963365845728e-05
voce,0.0004517594038503381,0.00048656965795917484
sendo,0.0004516408256807436,0.000330770137263539
sala,0.0004469375858422886,0.0002433372144812303
kids,0.00044588834524497136,0.0003655748672604095
tera,0.00043681651121478814,0.00015037304842263022
unica,0.0004034153793498918,0.00013906433852134339
estar,0.00039103488631542227,0.00016510099942010202
bicicletario,0.00037984710548719656,9.874321481238469e-05
finamente,0.00037975880755443115,0.0002945497545666465
portaria,0.0003733417430144659,8.241940127108415e-05
contemporaneo,0.0003729221551159956,0.00011316736725611889
nobre,0.00037048289999057625,9.14779759906935e-05
vida,0.00037000669825653086,9.206726475846157e-05
imponente,0.00036441163193108307,0.00018888083917916268
ilha,0.00036271588780432127,4.894543017025222e-05
condominial,0.00034725651179854375,0.00015745932582298433
transporte,0.00034190966727709604,0.00017543902460906072
interna,0.0003402776826557652,1.4837044092690316e-05
banheiros,0.0003357592325215375,6.127439394792576e-05
nobres,0.0003308256490029304,0.0006861208365709155
convivencia,0.00032868583950425024,7.548988892258975e-05
apartamentos,0.0003283302303726643,6.59605235310009e-05
hidromassagem,0.000297574055285188,0.00020373900148261685
cada,0.000292562645496286,0.00034702192325802796
tambem,0.0002925142835456418,0.00021050693299309558
privativa,0.0002899271775093748,0.0001862072651055676
praticidade,0.0002884940854094742,0.00020787301736189165
amigos,0.0002858573026733202,0.00020240774058075695
pe,0.00028237868892080356,3.395932655169668e-05
viver,0.00027722127814577835,0.0001410424656902943
entradas,0.0002761691314443926,0.00013000537094245984
churrasqueiras,0.0002734411546488902,0.00015012244922029465
aqui,0.0002728155496629414,6.610758926385903e-05
ter,0.00027086805492984036,8.449661327893335e-05
elevador,0.0002671639818763394,6.06556571016058e-05
caldeira,0.0002651898342479253,0.00019899130955630868
sacadas,0.00026056948372972234,8.154627123470446e-05
ampla,0.00025621516610054853,0.00020513536309552775
24,0.0002547675610049982,0.0001006913422254394
lazer,0.0002505571244219462,8.21934487385906e-05
decorado,0.0002500333759587692,4.865703527462864e-05
aquecida,0.00024954936134102823,7.462723703086831e-05
fachada,0.0002482919684860141,0.00011611952397591645
servico,0.0002477063753946185,0.0001568309458771955
localizacao,0.0002424221854943065,0.0001424760891812845
independentes,0.00024179579790408745,2.333143564730495e-05
anuncio,0.00023801543576724705,1.6942064120472137e-05
individuais,0.00023692369474599407,0.00020382776276192587
mobiliado,0.00022751142230512667,0.00012128653644613651
aquecido,0.00022735794326695925,5.064211923631036e-05
condicoes,0.00022077337250216988,0.00013500603255333255
localizado,0.00022071773065324152,0.0001629400576898825
onde,0.00021988512177397723,0.00014742137914075014
corretor,0.00021807332169523352,0.00022306922891720448
coberta,0.0002156210459218544,9.42174017389322e-05
jacuzzi,0.0002146422748666277,5.754458568960796e-05
ventiladas,0.00020905710318985804,0.0002774337635081867
salao,0.00020896632249776115,0.0002955539210363913
torre,0.00020825604309728795,0.0001989016891901687
experiencia,0.00019714895135654055,0.00018246812783538345
gardens,0.00019627753692654792,3.782158012898904e-05
tecnologia,0.00017885764685454664,3.7273351120606433e-05
pastilhas,0.00017270199830710098,6.12149563912507e-05
qualidade,0.00016970250379133578,0.00013068190087681448
mont,0.00016847131704058604,0.00028308459112030826
torres,0.00016815547997213188,5.464558237017461e-05
design,0.000166547227834446,0.00011813686579651268
fim,0.00016512375667303568,4.535272246132264e-05
distribuidos,0.0001631724138682955,6.079871584804717e-05
aquecimento,0.00016273761314822277,5.5353441503238486e-05
serem,0.0001618240607788257,0.00011724313725944207
gas,0.00015945505575296615,0.00020255778569530734
moderno,0.0001556541872467676,6.229875507422226e-05
maiojama,0.00015191688300921768,0.00010653067249183812
luxo,0.00014437702877398984,0.0007683875592699857
elevadores,0.00014366941013612688,0.00010119055801746563
estacionamento,0.00014207861004660315,0.00016870464319402204
onibus,0.00013877585261539148,0.00014136494783024205
moradores,0.00013590211392766616,8.225524219973579e-06
piso,0.00013271350252626047,9.857638429736867e-05
porto,0.00013138832847081616,7.789691474141505e-05
anos,0.00012981812049652763,0.00022832326144184447
dacao,0.00012800814473994392,3.4206736534033366e-05
cm,0.00012787562765359528,0.00014201557138196917
dois,0.00012662434119792287,7.022104567086198e-05
espera,0.00012487315481595206,3.607654225707211e-05
rotativa,0.00012420334708331814,6.498811892284321e-05
fgts,0.00012367161178581388,4.5238724589418397e-05
uniao,0.0001235674416969923,0.00019433374046128312
todos,0.00011928433175842912,0.00026665291023270045
salgado,0.00011567064803752469,0.0
despensa,0.00011157676895721114,0.00044719035589397914
diferencial,0.00011121896432717549,2.9483117730801482e-05
menos,0.00011075403791334093,9.912267499706659e-05
pele,0.00010967684804996658,2.8513396441831033e-05
planta,0.00010308625935531168,3.075355500049835e-05
duplo,0.00010297797930156616,4.849650261296052e-05
momento,0.0001022864542139068,6.877438225815901e-05
financiamento,0.00010206756866448785,2.893906284405105e-05
caracteristicas,0.0001003855287058153,1.634513291797488e-05
residence,9.64100612679708e-05,3.957965634480473e-05
79,9.621695336898828e-05,7.751017559154951e-05
estoque,9.415660455809327e-05,4.6434013506994774e-05
iguatemi,9.138324256903196e-05,4.5619535255603794e-05
garagens,8.977144615376353e-05,4.120469304835073e-05
agende,8.811410446778467e-05,6.72316624516165e-05
charmosa,8.614618529014794e-05,2.4820911222466578e-05
traz,8.601853568093176e-05,0.00032576583224317937
granito,8.584618850997483e-05,0.00011866920369142835
molhado,8.530367555887874e-05,4.031005364050267e-05
quatro,8.46382543586266e-05,6.074488410352042e-05
deus,8.391889763053051e-05,9.613081667356738e-05
menino,7.996539406873726e-05,5.804848140962371e-05
higienopolis,7.947035617208442e-05,2.8085745753280187e-05
esquadrias,7.813999140613426e-05,1.5087954807414468e-05
privativos,7.488219876614633e-05,0.00029408598908962875
amplos,7.434946065967284e-05,7.307045000686518e-05
arquitetonico,7.416570631013641e-05,8.52565312323869e-06
solar,7.160191008621641e-05,0.00026216828238100423
14,7.152056965276099e-05,5.61867120203781e-05
medidores,7.06201098535253e-05,9.611298304376883e-05
filho,6.914735804117723e-05,4.107194456155274e-05
figueiras,6.499247910785044e-05,2.6893194604590595e-05
inovador,6.445897429061543e-05,7.06840496521574e-05
comuns,6.336502257193732e-05,5.288767592386657e-06
cidade,6.25715705276253e-05,2.2558504048657725e-05
residenciais,6.125575461630728e-05,4.6507087113233646e-05
momentos,6.0761831966194e-05,5.753857946365176e-05
ate,5.7591608596352375e-05,5.722013003803261e-05
whatsapp,5.745579602798312e-05,0.00011066823442163609
cobertas,5.7275212376550756e-05,2.9807314067487323e-05
57,5.347363952710182e-05,3.340630205655999e-05
especialistas,5.267967623168168e-05,7.641655993625483e-05
cavalhada,5.2408753871291405e-05,2.2607634711934492e-05
mezanino,5.176052654365382e-05,7.200749111108313e-06
alta,5.0731634254330696e-05,6.404533369751598e-05
miolo,4.899492521428517e-05,1.9206598287210866e-05
controle,4.786737362796334e-05,2.5036237123542554e-05
quiosque,4.763620975718474e-05,1.8064860120394493e-05
petropolis,4.5821191143669e-05,4.1953048611419445e-05
futebol,4.561935295095409e-05,1.786366323528137e-05
parque,4.4958978862852386e-05,4.288837567846835e-05
jogos,4.4863862138933006e-05,5.6455267931871745e-05
necessarios,4.477766764545699e-05,3.827176282556808e-05
familias,4.417302800228118e-05,2.309955161604472e-05
exclusividade,4.3715483758810514e-05,9.090961742680678e-05
zaffari,4.284160330694231e-05,2.7280800613825053e-05
automoveis,4.223331581687528e-05,4.612769662804128e-06
conforme,4.0904841332745076e-05,1.0416667380380595e-05
coifa,4.008351019078038e-05,1.8439146673457397e-05
disso,3.928256311205303e-05,1.9948211616718834e-05
todas,3.8685268945992667e-05,3.307460258426583e-05
parte,3.8411549891859134e-05,1.467178244366598e-05
atendimento,3.684454330816766e-05,8.175831614035533e-05
tendencia,3.631933456711422e-05,1.131853717791799e-05
fapa,3.577193605992512e-05,2.6947891740715566e-05
sujeitos,3.5709153215957025e-05,2.6024656469487962e-05
muitos,3.484171664922542e-05,9.653402351136631e-06
vinilico,3.4825041120978285e-05,1.426559452046e-05
plantas,3.46696487238729e-05,2.059975109867115e-05
ipa,3.2930790623053596e-05,2.5340344538762823e-05
