feature,weight
suites,0.2595211535005
elegancia,0.05927218988151658
suite,0.05546102684972575
master,0.038751098114915734
endereco,0.023682247183661208
conversar,0.02149247859575709
fachadas,0.018462339728595924
vagas,0.018425085222699512
lavabo,0.01780569050538508
bem,0.017615084656762054
privilegiado,0.017476734505908115
unico,0.015364850415233063
proporcionam,0.014962010358429482
dependencia,0.014860107950695957
apartamento,0.01383678349243027
lareira,0.01362125630448761
empreendimento,0.013024614174690934
piscina,0.012290412760256626
sofisticacao,0.011722612441628888
cozinha,0.011421375889398594
cm,0.009838211816518541
voce,0.007678766083923801
luxo,0.007631725222042257
dormitorios,0.007576450489357775
maior,0.007371212803309403
acabamentos,0.00729735646873609
plena,0.0069324220100663025
sauna,0.006469711969737836
privativo,0.006340859367206398
vista,0.006247820851736051
terreno,0.006161154888187709
25,0.0059736605835496595
verdadeiro,0.0059163446578200385
padrao,0.00566901585373659
requintado,0.005522620512311141
traz,0.004822243096225445
sacada,0.00474930626710736
cada,0.00458694841534329
bela,0.0045221066343134235
blindada,0.004521484941913641
moinhos,0.004380993957212738
belissimo,0.004263879864281966
churrasqueira,0.003957381050419651
mao,0.0037345908873910685
hidro,0.0035159213273548606
internacional,0.003476596946147844
uniao,0.0033227028370828755
fazem,0.0032747879146065887
vinte,0.00326213602228304
regiao,0.003207814933341856
gerador,0.0031432569012285424
closet,0.0030992852094602757
vento,0.0030478211106008857
cadastre,0.002950193218209154
empregada,0.002806785485613753
apartamentos,0.0024892793296647257
intimo,0.0022636502959380595
contemporaneo,0.0022540026691908145
ventiladas,0.002241862167982663
ambientes,0.0021955919029666344
fitness,0.0021952865279105988
familia,0.0021500126777860926
completa,0.002149409524041094
onde,0.002118288940216377
condominio,0.0021067054289459447
abrir,0.0020732169753001546
metros,0.0020185525610847367
deposito,0.0019721685553868527
infraestrutura,0.0018997933405602398
varanda,0.0018573927166180505
gabinete,0.0018463340282586478
vao,0.0018350074572998744
garagem,0.001819670319323875
conta,0.0017303523108935371
espaco,0.001705862275040796
privativos,0.0016530751408749802
bairro,0.0016398127898671238
alto,0.001599144250339488
nobres,0.0015841677597190618
dormitorio,0.001559051016709556
area,0.0015033654011214934
gourmet,0.0014941692193486227
carros,0.0014245407001927137
living,0.0014134166289149137
anchieta,0.001404485748131323
arquitetura,0.00136714916133048
projeto,0.0012873437894826863
sofisticado,0.0012788178077109164
spa,0.001255526656188167
garden,0.0012543947370093806
02,0.0012514208720226182
hall,0.0012462516542026303
americana,0.0012354334954726366
lugar,0.001230580419040011
jantar,0.001225897253241275
proximo,0.0011965361301702797
viver,0.0011782201330704253
amigos,0.001157410337738641
vida,0.0011404109989009035
sobre,0.0011005748141807118
auxiliar,0.0010932228560262118
kids,0.0010781129945896934
salao,0.001074297090320998
encol,0.0010636659952231442
portaria,0.0009926396620463685
raia,0.0009873746593437832
individuais,0.0009787607859828883
sao,0.0009731229042066318
coracao,0.0009609755077076304
detalhes,0.0009304789751979868
moderna,0.0008824605601246301
dupla,0.0008762962732045359
experiencia,0.0008749090289387216
serem,0.0008293157093767843
exclusivo,0.0008175980987208521
tambem,0.0007937360869484468
servico,0.0007780710638710247
20,0.0007778193582618292
sendo,0.0007770883529576683
possuem,0.0007062613934867082
sala,0.0007034228087177504
quadra,0.000690729602384793
sacadao,0.0006865346536956442
conforto,0.0006853806849823228
predio,0.0006807845557346519
vaga,0.0006754167271447378
lavanderia,0.0006739858168275207
sociais,0.0006690415619954786
convivencia,0.0006667837886345622
amplo,0.0006602775167330123
coberturas,0.000659293179597751
estar,0.0006545077460233461
contato,0.000646123223562756
terraco,0.00064586783936538
shopping,0.0006369109005408512
detalhe,0.0006334017349901776
magnifica,0.0006302960264337609
tudo,0.0006253858122889813
ampla,0.0006030179396611293
encantador,0.0005943068998850805
pecanha,0.0005938068620805143
adega,0.0005866219154035241
qualidade,0.0005859493399912216
carlos,0.000585157305314541
finamente,0.0005709492148541334
momentos,0.000555461521446629
churrasco,0.0005545779303392354
momento,0.0005492417037910561
anos,0.0005458711987453084
fachada,0.0005396049822157231
duas,0.0005032430453263345
guarita,0.00048823674521984896
duplex,0.0004843447631837116
seguranca,0.00047569680652111726
playground,0.0004742314444935188
hidromassagem,0.0004422364619078816
copa,0.0004379263827563652
lado,0.00043445575852737225
pagamento,0.00043137968075131113
festas,0.0004301127040495201
anuncio,0.0004270420534282186
edificio,0.00042284186866194725
figueiras,0.00042120281293817454
mont,0.0004206261859929215
requinte,0.000419917961542022
andar,0.0004198575562648065
imponente,0.0004171931449481048
guaiba,0.0004004346601593621
ilha,0.00039963896888904913
massagem,0.0003938733482756897
decorado,0.000383741070284979
onibus,0.00037846264540937615
banheiro,0.0003775434877429413
centros,0.00037519661446741017
03,0.00037138710236427514
ter,0.00036890689538845176
compras,0.00036559357754259117
torre,0.00034746190987760775
termica,0.00034286895609282814
distribuido,0.0003420010264783871
aquecida,0.0003381809363722442
persianas,0.000326179902594004
tenis,0.00032540665401077445
bosque,0.00032263757613799454
granito,0.0003221760287927164
coberta,0.00032157046114605653
parcao,0.000320700897061755
charme,0.00031806572887149736
04,0.0003111733481755554
torres,0.0002997069221329591
frente,0.000297563296353039
cenario,0.0002963745707549805
jogos,0.000290682038025172
unica,0.0002892582511922416
tres,0.0002880472011277961
