feature,weight,std
suites,0.3457882381047153,0.017618604705089563
sentir,0.19249770983894157,0.0009650114249346464
suite,0.11870413984759039,0.012738537008671284
master,0.055286174519262744,0.001273071666344058
vagas,0.032949500991090286,0.002574250113191441
lajes,0.02972840306303619,0.030574075668505077
dependencia,0.022684881990281004,0.000794373091573046
lavabo,0.022610237468004522,0.0026697671227040075
lareira,0.01699577353139505,0.0018880288414253148
acabamentos,0.012769361947381586,0.0015223039249106678
piscina,0.009838492858903435,0.0009584134520289287
bela,0.006160651662907068,0.0010129747590739457
sacada,0.006074130765883146,0.0018829297721749965
nobres,0.006001208619028775,0.00022122407696567906
dormitorios,0.005615256598016383,0.0009175287703493064
sauna,0.0048251239042865325,0.0005361979885548136
auxiliar,0.00467162145461133,0.0005518123910171266
fitness,0.004576161815375834,0.0005601113326006336
vento,0.004030352703020634,0.0004853013382342436
rara,0.003915916955563992,0.002041310018659249
futebol,0.0038038337772789976,1.1910158145382157e-05
viver,0.003466098514827354,0.0007627142891298813
empregada,0.003392375032671935,0.0010378699042473609
sofisticacao,0.0033566449131145148,0.0013132319426097433
vista,0.003235862775428844,0.00021750524066333336
dormitorio,0.003211646601199014,0.0002561540874091182
condominio,0.0029127453147187675,7.710974234877801e-05
churrasqueira,0.002686046767052641,0.000471266846749306
concebido,0.002313616246063144,0.0018299291203981447
garden,0.002202127854781022,0.0007296983674802095
sala,0.0021833260763838513,0.0007787288840006584
amplitude,0.0020640894587471204,0.0005799651370659679
02,0.001977313196770858,0.00018377191848400966
empreendimento,0.0019568668121833664,0.00018343642918723185
gerador,0.001935486326024871,0.0001766607273095611
kids,0.0018509059978879972,0.00014079459838480223
quadra,0.0018395052185343319,0.0005291955610140672
desse,0.0017789674672308519,1.5667726127712253e-06
vaga,0.001751324685165212,0.0006203689609963036
disposicao,0.0017309088899130297,0.0010248669269122056
cozinha,0.0017070158681907089,0.00029461290182021153
massagem,0.0016737690645711734,7.994613250173952e-07
especialistas,0.0016186408796131202,0.00018583165625370892
moinhos,0.0015907286212066385,0.00017760219561320067
inspirado,0.0015740432138761974,0.0003997617681857891
05,0.0015181940440924357,1.153936924884778e-06
privativo,0.0014300459136368682,0.0005938180798669281
playground,0.001421769013349694,0.00017626714327391888
conversar,0.001288671167184452,0.0003754833800378256
spa,0.001227623415187118,0.00010006939974695141
shopping,0.0012264520946145385,0.0006198998232621883
tranquilo,0.0011616422099297806,0.003507250156723893
bosque,0.0011568816656128966,0.0009919222757845132
verdadeiro,0.0009924270194555662,0.0
24,0.000959087458994956,0.00026980843828001256
lugar,0.0009261455212755898,0.0008385810293097698
dupla,0.0009160415899996055,0.0001317429642241067
projeto,0.0009137354210334125,1.7886778935073385e-05
parques,0.0008989053586304196,3.406883672579513e-06
oferecer,0.0008985704877985112,2.971667506939112e-05
portaria,0.0008859817071739329,0.00027466636750260416
carros,0.0008792763285074389,0.00010234240645306953
padrao,0.00086596002355106,8.621894335542478e-05
completa,0.0008366196061458497,0.00020942059839113472
dois,0.0007742893652811,0.0001814629644422707
integrada,0.0007742180652116959,0.0005173867344478174
disso,0.0007600124539761443,0.0004214947116141767
plantas,0.0007573588596536008,4.655773581582811e-05
espaco,0.0006953471977224623,0.00024210741363050043
closet,0.0006886629534921251,6.521464588025022e-05
servico,0.0006749127407325473,0.0002283166161723374
estar,0.000659947070658351,0.00016338050684698493
unico,0.0006530989834589551,0.00010920868181276653
banheiro,0.0006393865585515357,0.0002826767878319264
escriturada,0.0006216081586272182,0.00014024240118237002
amplo,0.0006035519188781757,0.00036047970648913285
sendo,0.000585036763475566,0.00019304977126333658
exclusividade,0.0005781032480258519,0.0006480821210717156
banheiros,0.0005774533050988184,5.8035365616119434e-05
preco,0.0005469945965946188,0.00020462600806132135
apartamento,0.0005427400460551012,0.00024119763156486986
sao,0.0005237590092842303,0.0003808469642103332
privativos,0.0005020462219205602,0.0001172549656976531
comecar,0.0005016658060236878,3.572056000760479e-05
elegancia,0.0004983442785861713,6.676406730638619e-05
elevador,0.0004943439593813048,0.00014203871798571698
fachadas,0.0004931972977852527,0.00016763383330722803
intimo,0.00048195207955323836,7.759087483105564e-05
totalmente,0.00047902582033272357,0.00045320623328732083
tipo,0.00047792768676002684,6.015626202671372e-05
cm,0.00044913551669383266,0.0006938128952670494
elevadores,0.0004239488424003124,4.998590095275382e-05
significa,0.00041834591219487295,1.643465929729147e-05
encol,0.0004111506433007728,0.00012118522152881747
norte,0.0004090500582090595,2.5114019803236176e-05
espetacular,0.0004086852664205498,2.3580403740354057e-05
deposito,0.0004038419824957673,5.012749029243295e-05
aberta,0.00039950402840249755,0.000364946499179884
saibro,0.0003959666496080594,0.00020035110857825607
separada,0.0003941558653260291,0.00014805557304924534
praca,0.0003828879987064715,0.00011784983536844909
proximo,0.0003798881865042736,0.00020504798065276361
garagens,0.00037979870687410155,8.449960510145891e-05
segundo,0.00037708712398918374,4.142975869680228e-06
aparece,0.0003764365795989377,0.0008727176028082949
americana,0.0003716853201152892,0.00010385266075504926
arquitetonico,0.00037079775838670946,2.445539386566771e-05
nativa,0.00036706159694770423,0.0009195540254913208
contemporaneo,0.00036540182973539005,4.1122375875814325e-06
estilo,0.0003631147780787769,2.4411104690218765e-05
copa,0.00035295391638332505,0.00010427761029044003
detalhes,0.00035216342372725864,1.6727794000801398e-05
cenario,0.0003497702851558593,0.00042382659808175977
moderna,0.0003458778773383298,0.0001631677465810852
privacidade,0.00034276513449884585,0.00012102910409571216
sacadao,0.00034135904452849977,2.7208123756972363e-05
planejada,0.0003353277824939216,3.932606399633954e-05
seguranca,0.00033200131176771566,0.0001704225534082037
quadrados,0.0003286063036431086,0.0001081725598814231
tenis,0.00032845071388021285,8.171739122328737e-05
salas,0.00032052210441841923,5.810366429115072e-05
guaiba,0.0003088645492907771,0.00024100807310867677
acesso,0.0003087442187204248,0.00043928717427877675
luxo,0.000305832822436769,0.00029584880786727734
detalhe,0.0002986216289434962,1.7105022313723844e-06
todos,0.00029684252147876844,0.00044424928400919715
tudo,0.0002934415742181784,0.00011849517501732554
decorado,0.00029062438004985315,7.416874572374092e-05
estacionamento,0.00028440709006307687,5.6339764367468494e-05
vidros,0.00028302421877564045,1.7644875215366905e-05
infra,0.0002801879656873396,4.7779534205057303e-05
lazer,0.00027106301245265473,5.713265687981708e-05
clube,0.0002659588333704832,2.8874226883711476e-05
hoteis,0.00026223482655602927,1.6521996674670864e-05
aquecimento,0.0002603171215112221,0.000106229862062018
04,0.0002492041207927898,1.9655356630357323e-05
cada,0.00024526865989542567,3.848231756615741e-05
uniao,0.00024028496594270533,6.01404737515328e-05
57,0.00023778857552563258,0.0004758879585304545
panoramica,0.00023560952511954004,5.484199075209371e-05
social,0.00023163046324179427,0.00019281808653890658
parcao,0.00022628578746737294,2.5926403359386204e-05
gas,0.00022121463932429642,7.70947105139906e-05
coracao,0.00022076270566577793,5.004313422240717e-05
ambientes,0.00021907205882880642,0.0001941281255867897
petropolis,0.0002155933590657133,0.0001727445397154838
mata,0.00021314734083124342,0.00023928566428711132
central,0.00021297095094239272,4.3793448034403976e-05
salao,0.00021180985332101,0.000315933362349552
churrasco,0.0002099993148052981,4.144068143067786e-06
requinte,0.00020884814663737483,6.504431916912727e-05
03,0.00020479351183562146,9.864407990675511e-05
localizado,0.00020432692582443844,0.0001505936545930281
excepcional,0.00019783091983671675,3.9621687735860705e-05
vidro,0.00019505194881495048,5.962835947038974e-05
25,0.00019290193692782508,3.3480189086837584e-06
surpreender,0.00019211292737240094,6.552855314207204e-07
aquecida,0.00019155122548741854,2.8246408674189806e-05
cobertura,0.00018605586161242195,6.6608712789387025e-06
onibus,0.00018517076201265414,3.3176331425599884e-05
composto,0.00018184087738291055,2.7790151730970006e-05
garagem,0.00018089606573283844,0.000470520107225206
casa,0.00017130176712807366,4.7743006856995284e-05
otima,0.00016993041195902946,0.0001437015099061777
inferior,0.0001695462750863408,0.00021655749581483635
localizacao,0.00016265901315146714,9.65472407062732e-05
regioes,0.00016140275205491771,0.0001679364690607786
linda,0.00016131159705943255,2.7209072900592616e-05
deste,0.00015873615725641165,0.00031272677541955375
jk,0.00015769197035262473,1.1802067230732754e-05
av,0.0001484108832391362,9.764150205914256e-05
rua,0.00014752761383345357,7.445898641081555e-05
500,0.00014594431474894697,1.4435612848599498e-05
incrivel,0.0001452905783582148,1.3202594644590379e-05
historia,0.00014088556951230569,0.0
aproveitamentos,0.00014030520058956332,9.786059933332395e-08
deslumbrante,0.00013891970005457387,6.573404575151429e-06
tradicional,0.00013700022365799037,3.2374197976505746e-05
onde,0.00013677366566999805,5.771847091184002e-05
alto,0.00013462330779232535,0.0008949227860419217
luxuoso,0.00013414350632914295,5.242001325192256e-05
nobre,0.00013261407075166877,7.249795251264047e-05
parte,0.00013182351946732228,0.0001097665260427836
jogos,0.00013073008168131838,4.2727600106313525e-05
termica,0.00012948399367205266,1.3135559290382469e-05
esquina,0.0001285965498201369,3.829266124322269e-05
diferenciado,0.0001284682891134592,4.731864370006458e-05
charmoso,0.0001271781306540376,0.0004133301559966246
pvc,0.00012701766028786477,8.107843417748476e-06
festas,0.00012584881071557862,0.0001237167714834879
elementos,0.00012556347182395288,7.636075370775178e-05
38,0.0001240158293443816,2.164007959791592e-05
perene,0.00012343183270511205,7.270829112531375e-05
piscinas,0.00012281860893290642,5.368334543528008e-05
house,0.00011521504413469774,3.5831578132793307e-06
impecavel,0.00011012403502899115,1.877082620738176e-05
memorial,0.0001075897971495321,2.2918667262276347e-05
apartamentos,0.00010695549101713553,4.5760126660059085e-05
mobiliados,0.00010553545092890637,1.2826625240906596e-05
lounge,0.00010434721217862375,2.1598807251971587e-05
guarita,0.00010347737634734955,3.48555554120528e-05
novo,0.00010265531698154806,6.287641680036244e-05
espera,0.00010213524415811915,2.680033471177509e-05
redencao,0.00010170842988925788,2.1912560499775614e-05
visita,0.00010055130278605607,7.855675470538635e-05
internos,9.908620140739455e-05,1.5243042986057275e-06
energia,9.814199833568793e-05,1.6056999456309164e-05
pode,9.764171859272253e-05,0.00011072197429023386
amplos,9.701532565162819e-05,7.070947351233945e-05
rio,9.6933358784268e-05,3.054771864115692e-05
gabinete,9.473029997981719e-05,7.193471477197934e-05
loft,9.379442840791174e-05,6.078758710538306e-06
quiosques,9.376410695371984e-05,2.8069298438175077e-05
splits,9.327709086408565e-05,6.609051789287636e-06
leste,9.078665275157327e-05,1.514218290298336e-05
reserva,9.008074474881056e-05,3.487662477552611e-05
qualidade,9.003877586541976e-05,4.833785755808937e-05
codificado,8.999816717778498e-05,1.4738152322557592e-06
infraestrutura,8.846016391259593e-05,7.49218487974723e-05
nova,8.794841107062634e-05,4.4231976396690825e-05
condominial,8.777162796760329e-05,2.3032864132180094e-05
montada,8.690282275070071e-05,1.863371952183836e-05
equipado,8.677600085396086e-05,5.8854370697648565e-06
torno,8.676467979835678e-05,3.27322212115096e-05
141,8.657464142169946e-05,0.0
corretora,8.472159596113471e-05,4.1026150570778214e-05
sujeitos,8.430742722294049e-05,5.570166510924593e-07
clubes,8.376225568984541e-05,9.193755414992881e-05
andar,8.360104279028224e-05,0.00021828092842275044
varanda,8.312299971426906e-05,9.237494090840534e-05
comerciais,8.28848556635009e-05,9.227512657292692e-05
sociais,8.020920794631348e-05,4.1749851314714974e-05
maior,7.989883732191227e-05,3.723242296447481e-05
santo,7.986288676538056e-05,0.00010748938474324035
pele,7.818906108494338e-05,3.185317917875352e-07
reformado,7.795427965648916e-05,3.9250122061294874e-05
possibilidade,7.77817878727216e-05,2.0881293024866455e-05
vai,7.762951898435678e-05,2.4265641182823875e-05
festa,7.748660028501497e-05,7.475525656485135e-05
gosta,7.710399281186664e-05,7.758317716783202e-07
telefone,7.537929583913971e-05,4.772564295418847e-05
zaffari,7.508291562041691e-05,4.2002311353316076e-05
meio,7.387470181308142e-05,0.00032774004642462795
inteligente,7.386929284287635e-05,6.025155680016364e-05
more,7.219761450734108e-05,2.4098929034242998e-05
alcance,7.171469706734879e-05,0.0
360,7.16347939651918e-05,1.1972845950669608e-06
chega,7.128826882798477e-05,4.046477280539307e-06
externa,6.970914019326369e-05,1.8226891852794478e-05
junto,6.958895562747536e-05,2.8365949726713096e-05
sol,6.883552503782475e-05,5.067043738671187e-05
reversao,6.834101386279378e-05,7.849693451146112e-05
interna,6.832275197496963e-05,4.8796569271751766e-05
mobiliado,6.789892969862876e-05,9.649899934281518e-05
quase,6.750168566214133e-05,6.740481729760531e-06
tranquilidade,6.668205801374505e-05,0.00014633186540185449
site,6.655901467704784e-05,6.228547091736827e-06
selo,6.625650361946622e-05,0.0
originalmente,6.601257386149584e-05,2.0763781466241148e-05
reformada,6.431613848192352e-05,3.4300996904395826e-05
melhores,6.389140958680261e-05,7.368757731485299e-05
baltazar,6.355972629874529e-05,4.180143242989423e-05
avenidas,6.28433247595872e-05,4.33884888023703e-06
goldsztein,6.279571983220933e-05,4.586981417097407e-06
fim,6.20153197763873e-05,2.345051764961243e-05
raridade,6.185415668249483e-05,3.175635347485476e-07
16,6.121090658619543e-05,3.572297598592845e-06
eletricas,6.082903601418721e-05,1.5402333679139097e-06
alta,6.0266319855140084e-05,2.092135234215759e-05
dia,6.026133086314278e-05,0.00014458283426073534
melhor,5.9754195572647714e-05,6.670157066672484e-05
estuda,5.953529410085423e-05,2.4095763877167475e-05
coberturas,5.9051890304195886e-05,0.0
julio,5.9006689742036046e-05,4.73747953022735e-06
pastilhas,5.900175411071018e-05,5.496285770251946e-05
sob,5.847222954780129e-05,7.592004749830754e-06
split,5.769100231489688e-05,3.743153886708571e-05
coberto,5.740357359973469e-05,1.799682832180566e-05
esquadrias,5.667011361996099e-05,3.382835293511022e-05
outra,5.613070311192292e-05,7.068786134197517e-06
europa,5.600226408288833e-05,1.8315198877098126e-05
castilhos,5.598529249195572e-05,4.024988784712136e-06
ramiro,5.5087106808260346e-05,6.670594380049969e-06
serrat,5.3184452230170545e-05,3.7751127766276933e-05
todas,5.255158073469435e-05,5.8545516780848674e-05
branco,5.2483413438131345e-05,2.7875501854057416e-05
definidos,5.245020127220279e-05,5.5043279203245276e-05
urbano,5.23294701041177e-05,9.936086490501002e-05
precisa,5.224363719951164e-05,0.00011330543914814629
quartos,5.219882298990175e-05,3.6671489707720435e-05
lindo,5.195877276136241e-05,1.690563402897815e-05
independentes,5.1588771674349056e-05,0.00010166669062219403
hidromassagem,5.153545086440392e-05,6.892953874459739e-05
universidades,5.143492607186939e-05,7.57308269540198e-06
financiamento,5.13903359397494e-05,2.638425575408741e-05
independencia,5.116035428514021e-05,5.225432877460017e-06
pe,5.093345993520959e-05,3.4244523025578745e-05
01,5.088803234412076e-05,0.00010382695697845025
planta,5.001314069390528e-05,2.752867493600171e-05
fachada,4.986877529022937e-05,5.795171798333895e-05
espacos,4.912835347261613e-05,9.494708931597643e-05
magnifica,4.891750912201509e-05,2.1681823275794394e-05
pessoas,4.862327802013233e-05,3.803871369778674e-05
opcao,4.8526421976125e-05,6.31935298933053e-05
agende,4.821208289680356e-05,9.28290103017897e-05
baixo,4.805903706861514e-05,2.6221026311534804e-05
servicos,4.8022012068327236e-05,1.7615409144501756e-05
vida,4.797199859729595e-05,3.842406786144941e-05
quatro,4.7882186336933866e-05,7.770461405172136e-05
transformado,4.726441248268376e-05,1.1484622158182287e-05
local,4.641141630821188e-05,1.3910243382965209e-05
sistema,4.598798496151524e-05,8.64520900537928e-06
personalizada,4.589642372136993e-05,7.701588811089063e-06
andares,4.537328755784831e-05,1.1098345136201483e-05
exclusiva,4.535422431790614e-05,8.449022655470871e-06
caldeira,4.493102644258507e-05,1.653173486007901e-05
livre,4.465015881318646e-05,3.054510920909398e-05
box,4.412126498465341e-05,2.155205284115221e-05
dispensa,4.346059735926833e-05,5.551517790538379e-06
diferente,4.343858295039471e-05,2.4778894223799353e-06
direito,4.341941471972532e-05,2.0660323115711493e-05
73,4.317483135589662e-05,7.768471415290929e-05
comum,4.3010778441310296e-05,1.86511063922889e-05
ficam,4.265990182152901e-05,2.888162247663711e-05
locacao,4.2251515736713155e-05,2.430007025807607e-05
caminhada,4.2148782261652865e-05,6.481300990448366e-07
demais,4.166359740165326e-05,2.1856819023131375e-05
contendo,4.14900818005437e-05,6.2095425835798e-07
uniritter,4.142038732135589e-05,6.333531657949296e-05
blindada,4.05539483531614e-05,7.019057880545133e-05
gesso,4.049625065043472e-05,5.025411089136602e-05
22,4.016286560255544e-05,1.2502061574331346e-05
anchieta,3.97964529466055e-05,1.4038795021449691e-05
mobiliada,3.951929353898098e-05,2.386482823660177e-05
pequeno,3.901584099448296e-05,2.4502582706484102e-05
arborizada,3.897751652914838e-05,1.2178649764266459e-05
seguindo,3.872085537526271e-05,0.0
cristal,3.844220069029181e-05,6.353159869845088e-05
hospitais,3.818778513127174e-05,4.466039789347138e-06
duplex,3.8025469588953696e-05,2.71146206152208e-05
17,3.7918406300185836e-05,6.710424239385723e-07
solar,3.782448115288162e-05,2.7888356263883088e-05
primeiro,3.729461530843636e-05,3.923891490236784e-06
hs,3.723227598093626e-05,6.489322713860606e-05
contate,3.617949012413302e-05,1.1194900988334504e-05
historico,3.605668704287357e-05,1.7878799323762846e-05
gama,3.6001251901285336e-05,3.321973130501322e-05
bairro,3.582039262024494e-05,0.0003211203743820594
country,3.561226505486292e-05,1.2419524010006938e-05
distribuidos,3.559508594044303e-05,0.00011078799441701785
100,3.553442343817714e-05,1.8372884077177693e-05
materiais,3.4931146126049305e-05,7.982579080626923e-05
sera,3.49302125464801e-05,2.637787945651e-06
curtir,3.47709731608914e-05,3.0466058980728026e-05
construtivo,3.456176406635425e-05,1.2392940861200673e-05
supermercados,3.414704707116467e-05,5.8899896244720675e-06
teatro,3.410938686954079e-05,5.425189190343277e-06
mezanino,3.366546786700564e-05,3.322764075369925e-05
apto,3.3593788209662634e-05,8.084464530306066e-05
subsolo,3.34247643409391e-05,4.557576415403979e-06
parque,3.3299591285929074e-05,2.7514332108659402e-05
gaucho,3.287359399593015e-05,3.504748282044423e-06
fgts,3.2529447797657875e-05,1.5643642549957824e-05
orientacao,3.2440870922956225e-05,1.6563380693740147e-05
marque,3.23751596399191e-05,3.3429142863767984e-05
bem,3.219576100570443e-05,7.165517611775988e-05
ser,3.207380546219607e-05,1.4561249491145081e-05
40,3.205615111669946e-05,5.45898004922545e-06
ar,3.17894448591316e-05,2.347298348048805e-05
custo,3.164372741513155e-05,4.2730361782228706e-05
automacao,3.1136630817307774e-05,8.909975658837083e-06
sacadas,3.108509082028199e-05,7.656549767654502e-06
ipiranga,3.0705688880483525e-05,2.996876741016618e-05
comercio,3.036967649630018e-05,9.327456852392673e-06
agradavel,3.022808170338731e-05,9.196288555726609e-05
torre,3.01418780120688e-05,6.559581326115086e-05
mont,3.006445133031388e-05,2.0522362101423787e-05
oportunidade,2.9803319671439787e-05,2.545401204102899e-05
club,2.9390925765393484e-05,3.2303293578074595e-06
bom,2.9208927847945708e-05,2.1665396417512087e-05
virtual,2.914887179721326e-05,3.0553593071695145e-05
saloes,2.892509171259494e-05,3.365067788186436e-05
alvenaria,2.8893530244267218e-05,1.0941017488121058e-06
aceita,2.8557099786641337e-05,3.7859799675511496e-05
veja,2.8447385210483846e-05,1.2789708517179225e-05
serao,2.8444195688814844e-05,0.0
pagamento,2.8357227853037514e-05,6.271802937567163e-05
lado,2.8341623675687265e-05,0.00014123833596748272
wenceslau,2.811674959670718e-05,4.549898117697671e-06
aberturas,2.8111557831267397e-05,1.7546440348995096e-05
edificio,2.809607190057406e-05,0.00014637930144418033
inovador,2.7816329215246684e-05,2.7286081325160374e-05
circulacao,2.780512193316653e-05,6.000813710500263e-06
park,2.7578792727811497e-05,7.570201300767834e-06
uso,2.6893955982498775e-05,1.1748359026554216e-06
cadastre,2.6209245741171118e-05,7.133423875238936e-06
faz,2.5721461744687702e-05,1.068992555228853e-05
perfeito,2.5718743122404852e-05,1.584920869494651e-06
whatsapp,2.562989973020624e-05,0.00010802106713223895
desocupado,2.5296392181695105e-05,1.664048279907793e-05
flutuante,2.5038864478688083e-05,0.0
conferir,2.481727067549233e-05,1.0690560980409084e-05
terreo,2.42472116067427e-05,1.502507057674658e-05
recursos,2.411946712794766e-05,3.452443328209483e-05
living,2.409403298466728e-05,0.0002899496791847624
habitado,2.4046390595966473e-05,6.297483723697606e-05
pet,2.3955344391013432e-05,6.818858988768358e-06
escrituradas,2.38921517883961e-05,5.1025931429344853e-05
morar,2.3889675196353544e-05,3.382332632918804e-05
chacara,2.3841353487630278e-05,1.8731641863120926e-05
calma,2.3590202992829214e-05,7.688210700927154e-06
campos,2.3569546929125274e-05,4.830548646688833e-05
higienopolis,2.354463741913726e-05,1.2214260088121188e-05
105,2.3522252099716922e-05,2.1689318969488485e-05
ainda,2.2769781927589604e-05,4.602331842981485e-06
entregue,2.2766474929714065e-05,6.674286892534622e-06
banho,2.273099482374974e-05,3.477805174627908e-05
mts,2.214083234752806e-05,4.466607905762032e-08
util,2.207875856119479e-05,9.711257633730175e-06
dacao,2.200034853112598e-05,2.23298780565733e-05
condominiais,2.1830369044884e-05,8.905379200775174e-06
perfeita,2.1777118050136935e-05,1.3677000508896745e-06
bancario,2.1757569601632552e-05,2.0899767473798307e-05
credenciados,2.175174416521042e-05,4.9163282007885614e-05
jardins,2.146584112350247e-05,7.50233704354634e-05
barcelos,2.1085390358832612e-05,1.0389335116282344e-06
155,2.1018813056339348e-05,9.614131343482767e-07
60,2.0775944389095358e-05,2.437794226145047e-06
entregues,2.0615960249226185e-05,7.710292213948074e-06
botanico,2.0453874239878544e-05,4.887017429519532e-06
zelador,2.0343405253764325e-05,7.045975133347322e-06
iluminado,2.0173646279020295e-05,1.0485549281403534e-05
escriturados,1.991649670149975e-05,3.5742465152854966e-05
pedras,1.979667055436174e-05,6.218873721643932e-06
pavimento,1.9697550341057914e-05,3.449779181981998e-05
igual,1.956890255472299e-05,0.0
visitante,1.9556959858912927e-05,7.388453179985727e-08
familiar,1.9163318798676164e-05,2.7148138988677316e-05
ventiladas,1.9099399472555235e-05,5.919410952587959e-05
manta,1.9055771408704736e-05,0.0
indicada,1.8923561449812885e-05,1.3537786960523944e-05
marmore,1.886516239411051e-05,6.9516677714788124e-06
duplos,1.867677099709475e-05,2.026993136397062e-05
poliesportiva,1.8655960385083326e-05,1.4853600553270001e-05
71,1.8580492564135297e-05,3.538051940361504e-05
convivencia,1.8314316352041617e-05,8.386662777235765e-06
estendido,1.8276512430714932e-05,8.483105579357685e-06
diferenciais,1.8229936857561135e-05,2.3125268666807093e-06
