feature,weight,std
suites,0.2331091284437327,0.025019992140148113
sentir,0.16810966078996972,0.051772025983550414
suite,0.05563243243249641,0.00690997511291536
master,0.03533626832040543,0.012667747216216647
especialistas,0.019117742816773718,0.03412506626136131
lavabo,0.01611604992745091,0.0029983112638883903
serem,0.01574731092149865,0.05019868606613456
vagas,0.013458373052186126,0.006791998564160503
lajes,0.012604549252064674,0.012726935568642682
lareira,0.012176038199781913,0.00631261747045401
dependencia,0.009344305361898448,0.006282922893727508
bosque,0.008754211457867464,0.027525065263718652
acabamentos,0.008608775759439254,0.005005727143518255
sofisticacao,0.00819706802032614,0.011133314010473332
piscina,0.007950202132640707,0.010852521450922031
bela,0.007536880938325975,0.01445519113979578
concebido,0.007214479740981421,0.017046194115102997
fachadas,0.007049869737431856,0.012303575846861462
sala,0.0067815912217174526,0.008481937105702627
tranquilo,0.005584135260376713,0.02345080215079925
viver,0.005510941961842112,0.0133610830296456
conversar,0.005340776064379403,0.00669720611267914
idealizado,0.004865875978792225,0.023874914849697313
empreendimento,0.004444777806886156,0.010998322691587676
distribuido,0.004303082212015093,0.025003175960257744
revestidas,0.004236422965589468,0.009940252769314165
sacada,0.0038639102999186185,0.006138631743781143
familia,0.003849062920938974,0.017225658267037217
nobres,0.0034870457184112058,0.006498481020912251
tipo,0.0032569201816997307,0.003213006416912098
dormitorios,0.003250935759372896,0.004524497108099864
amplitude,0.003190492276017307,0.0057864686850378185
preco,0.0031410415586216123,0.01910861590263911
vista,0.0031335309113882286,0.0037231283060420745
belissimo,0.0031070922352170864,0.0045443760227901805
exclusividade,0.002987878975969777,0.005492396027133117
sauna,0.002914900182332838,0.0030383473228431115
unico,0.0028999466346216556,0.0076673388468901605
fechado,0.0028512750725946997,0.009742096436410197
lugar,0.0028203513177226507,0.0048476606654016255
casa,0.002777166729427629,0.003021395703350599
privativos,0.002604818023343143,0.004173094452805311
nativa,0.002442827722654943,0.010495261600176617
alto,0.0024249478834820126,0.0023138226202778366
apartamento,0.0023145350860455747,0.00466029553875114
empregada,0.0022853604721608995,0.0032376403755000386
fitness,0.002225514935400376,0.0017979032849947828
rara,0.0021778793681935175,0.0056345782522087195
acesso,0.0021496197159864444,0.004460545699281095
terreno,0.002143139263874162,0.006183786339354475
espaco,0.002130536112321262,0.002884425798494621
churrasqueira,0.002105049262809763,0.0015378081326910783
privacidade,0.0020889067087776097,0.007846991581888962
personalizacao,0.002054780956187747,0.020365509306077136
faca,0.0020140664492313835,0.008449979075193246
luxo,0.0020132031373886637,0.003122590021224178
auxiliar,0.0019359409040391202,0.0008702395426115644
disso,0.0019355560723436419,0.0032498372431782286
05,0.0018868498007177349,0.002898124624324297
