feature,weight,std
suites,0.36725092682468397,0.016961266807514638
sentir,0.20629544960012866,0.008908640491498926
suite,0.10260486071416111,0.009864447800652319
master,0.05248996370368568,0.0011368532546845445
vagas,0.037844547299236656,0.0026902793393593174
lavabo,0.023520186891709184,0.0023302453009576576
dependencia,0.022279353136106073,0.00099021003905748
piscina,0.014237479692450927,0.002518036155446379
acabamentos,0.01085831430332207,0.0013191202733109566
lareira,0.009993398887255877,0.001756958331388433
sofisticacao,0.008291015744739361,0.001708477598955787
conversar,0.007831894581497134,0.001310383016885175
auxiliar,0.004214123326678143,0.0005434208794756208
dormitorios,0.004133904647431463,0.0004405209380502569
fitness,0.004005388718903813,0.0006703530712015145
kids,0.003936524999873648,0.0003096091935487336
especial,0.0037265977315678934,0.0005305102481178643
condominio,0.003688923897301666,0.0004205924322845688
concebido,0.003482452000866343,0.0027064372491415866
tranquilo,0.0031160082631451536,0.004901334304682952
vento,0.0030548431046673484,0.00047018189838367547
bela,0.0026258001907566884,0.0001544498189768899
moinhos,0.0024476547606736123,0.00014810098363480855
vista,0.0024435064079844524,0.000673141282187586
churrasqueira,0.00228963561767217,0.0003872158338072033
especialistas,0.002268828366150366,0.00018474899141532393
02,0.002150761514370747,0.0005509421155438136
estar,0.0021502146684962307,0.0026080867766034117
dormitorio,0.0020770895918373446,0.0001489331169558606
fazem,0.001726212386199788,0.002128057139610787
empreendimento,0.0017145448577029043,0.0002030499364513005
cozinha,0.0016967613907505452,0.00042887212079541567
solucoes,0.0016566859460502403,0.0011267403190695772
futebol,0.001590299917950544,3.461256993771656e-06
nobres,0.001436079412175917,4.924299399503042e-05
sacada,0.0013087199803833993,0.0007876244675149371
sala,0.0012949350719744014,0.00046759700625826993
elementos,0.001294820971739652,0.0006797250278920854
vaga,0.0011800885931553483,0.0003670530644803637
playground,0.0011378179668843913,0.0002791363388298238
gerador,0.0011197216183836955,0.00011705880177091278
comecar,0.0011180381901886084,4.3566582393606556e-05
disso,0.0010802197299426108,0.0002902769483394879
cm,0.001068826209222351,0.0009298544836936407
sauna,0.0010662572468075782,0.00022896439849028977
viver,0.0010312298521962138,0.000231351008359133
saibro,0.0010189684884604588,0.00047573751680029863
integrada,0.001007120406923656,0.0006603693124045449
elevadores,0.0009992896884566172,7.464379596957222e-05
salao,0.0009883031448382651,0.0003495667489558463
empregada,0.0009669996179823448,0.0005603379447089447
spa,0.0009309963348610228,0.00013290063636839543
inspirado,0.0009098274862140876,0.0003186280933744421
dois,0.0008949942394023136,0.00016658679799312704
mata,0.0008816075378020427,0.0018067211614956726
seguranca,0.0008803207051824247,0.00013978630952591654
banheiro,0.0008719712513761246,0.0005336701013221424
apartamento,0.0008712783806865021,0.00015207143988535144
bosque,0.0008704371100584751,0.0010945844356423501
projeto,0.0008538850717325408,3.393581768765533e-05
carros,0.000852717828852434,7.572700290650044e-05
padrao,0.0008441424387746865,0.0001893497522923402
detalhe,0.0008261149060175832,0.0
oferecer,0.0008230769028495733,3.8950590008983034e-05
portaria,0.000788954524122909,0.00037300228592916277
05,0.0007872666037064269,1.1842106301306804e-07
festas,0.000764746274092376,9.488964669649433e-05
alto,0.0007529968020858257,0.0009088288547357055
sendo,0.0007378440669188358,0.00010499668177948046
24,0.0007341541344902281,0.00029952644571190574
elevador,0.0007235532689352731,0.00014150228714966895
dupla,0.0006940712119320347,0.00010311696403848983
elegancia,0.0006920146110949377,4.8808084560979364e-05
maior,0.0006825352299420828,0.0012635863066459898
closet,0.0006765294045326886,6.162448470944878e-05
localizado,0.0006709340090358618,0.0005621736308880208
vidros,0.000651258630021112,9.718982227008393e-06
escriturada,0.0006358891844491677,0.00019500858644387386
arquitetonico,0.0005686915805878546,2.3158224026959626e-05
verdadeiro,0.0005587558373583157,0.0
shopping,0.0005523335214659309,0.0003251852752900505
