feature,weight,std
suites,0.23686422402333576,0.025555770037628742
sentir,0.16740261479787516,0.054896049403209704
suite,0.05628854680925501,0.006982893804621328
master,0.03247475989867651,0.015598078716895022
sofisticacao,0.018027567072742345,0.014715410823915172
lavabo,0.01731578417386447,0.004665559499993969
especialistas,0.01686635780294581,0.038511901471975356
lajes,0.01458281628485713,0.02449386999665429
vagas,0.013053002680894533,0.004590014684194476
piscina,0.01249188134580832,0.01230374833764777
lareira,0.01106313838088701,0.006523217741057607
dependencia,0.009743535126624398,0.006707501182977836
bosque,0.009130866755312118,0.02739432950212118
tranquilo,0.008982933925171263,0.03379429006903721
acabamentos,0.007873264128948123,0.005564055897805846
conversar,0.007391370705547191,0.007206809724124365
especial,0.007355437640398021,0.02860979923512562
concebido,0.007189002831985142,0.016170606587482386
serem,0.007185256235908968,0.02721403500689069
viver,0.006741480704016086,0.014176648075343691
revestidas,0.006512200400254571,0.012888050157640952
idealizado,0.006174340415092349,0.024113575817960954
preco,0.005238518858629081,0.03054049753088151
fazem,0.00505232372854775,0.010441020343289932
belissimo,0.004824058565703548,0.005360767601093897
empreendimento,0.004695773465378682,0.010638108173691225
dormitorios,0.0037432348965696386,0.003250100948480869
filhos,0.0036368196713809147,0.006469532133759718
unico,0.0035385924910947618,0.0072613890590235855
garagem,0.003453921774408851,0.00649792401436939
personalizacao,0.003394705994116254,0.01765459749242449
tipo,0.003314433347459416,0.0033806049442687384
vista,0.003272106421701452,0.004103758790700899
sala,0.003170764561229754,0.004842557299402635
alto,0.003084372541259282,0.0030817769569126676
mata,0.0030598660019626888,0.009686186245786016
maior,0.003028685541113517,0.005996511923505582
hidro,0.003014706752382948,0.005700254870417467
20,0.002860782450296929,0.011371853892876049
estar,0.0028424837331635848,0.004542291102680499
mao,0.002836177074124679,0.00946535263967574
apartamento,0.0028145426743471937,0.00471508728170883
cm,0.0026672674370162475,0.006794483105111401
sacada,0.0026104550020335728,0.003807247793212077
solucoes,0.0025658887939595536,0.006058020399410746
criar,0.002438348850395533,0.007690847956709997
bela,0.00240225232826192,0.0047066118333325005
cozinha,0.0023919377650275333,0.0027980502834000862
fachadas,0.002363767029818475,0.007335068400544452
disso,0.002314399993004403,0.004183859793008293
churrasqueira,0.0022306527180689806,0.0016100060381300481
condominio,0.002220466052152644,0.000666714728909304
requintado,0.0022144063531378154,0.01636508742576103
sauna,0.0021753757760069655,0.0032292781691296035
especiais,0.002173128698310011,0.004702257427456591
detalhes,0.0021398384467921972,0.007464287630646589
padrao,0.0021046569308008217,0.003364464206638715
espaco,0.002080430006235172,0.002109927383613809
57,0.0020718543339910416,0.00258214315425595
terreno,0.0020642272540872873,0.005676773794319923
fitness,0.0020200334796298992,0.0013666885848438851
memorial,0.0019943812219107874,0.0042220976538696765
empregada,0.0019761133441706744,0.0029642341860734497
salao,0.001951260606805167,0.003250355706558525
bairro,0.0018545909690687147,0.0035315531650360653
auxiliar,0.001689961610769257,0.0006843418327854617
oferecer,0.0016500634250914354,0.00390948767581617
kids,0.001622162384528278,0.003550320138268831
moinhos,0.001605678048971716,0.003140635971856966
ambientes,0.001589250132234366,0.0050755309822395536
completa,0.0015270943677148765,0.001705738386210028
gerador,0.0014827608523780603,0.0016773549584021298
medicao,0.0014606342710588244,0.0024186358942350676
compras,0.0014383637667897736,0.008154327470080727
vento,0.0014240695399035477,0.0017759077485240877
area,0.0014000875915593188,0.0012135943109369506
verde,0.0013940893482153746,0.008874189696916335
dormitorio,0.0013718601321907828,0.0006273894421743269
espacos,0.0013427379515654953,0.0021982692246115395
living,0.001333114160105428,0.0016334802095287059
closet,0.001292237028183217,0.00322903990698762
tempo,0.0012874221036951884,0.007467744333004344
sao,0.0012834814151805008,0.0015957054779804551
distribuido,0.0012824164924570855,0.012290157869016768
jantar,0.0012451200185361491,0.0025959967716389742
gourmet,0.0012192298900706516,0.001547107906547584
saibro,0.001196145799573987,0.0037695717843768185
lavanderia,0.001185581875757228,0.0014183011820298366
localizado,0.0011840268018243724,0.004685626020374529
garden,0.001180011305344336,0.002042841598953067
cada,0.0011729435045720596,0.0027796307490685884
banheiro,0.0011380019201168514,0.0009601664346657664
24,0.0011266104557538265,0.0008541257470982296
americana,0.0011258640762514675,0.0057625828439724
faca,0.0011244053213766499,0.006893643028681361
02,0.0011053328664092728,0.0017749824225022327
detalhe,0.0010950533679282845,0.0025170548275337355
frente,0.0010905925397064454,0.004059761404743772
melhor,0.0010858395257647663,0.0011073648088313578
praca,0.0010573542040003417,0.0035175168756282713
luxo,0.0010451044845667483,0.002071384890424333
conforto,0.0010436321764626208,0.0019442124988374163
spa,0.0010425073609519222,0.0020907046449956204
playground,0.0010361314772769435,0.0005664217793719284
proximo,0.0010018159748246644,0.002518385914411993
festas,0.0009824660265363302,0.0011780376400962256
sendo,0.000977195383164446,0.0007180117135142759
nativa,0.0009769808290926206,0.00567800647602763
deste,0.0009589332894818353,0.005456835789902571
todos,0.0009484385227752447,0.002189863024027313
exclusividade,0.0009426888410028225,0.0031418908892651546
abrir,0.0009307334672439604,0.004739617166767646
terraco,0.0009281494950719299,0.0031875786994085492
servico,0.0009176968276810364,0.000632613179851084
amplo,0.0009090566696011333,0.00045397500491820486
duas,0.0009029281639881176,0.004510530185188998
cenario,0.0008979322015436397,0.0018017171220839315
cercado,0.000896436161068633,0.005164860616979716
coracao,0.0008758119241170385,0.002518223197447031
privativos,0.0008754266461873701,0.002049331676407002
vaga,0.0008674791728028017,0.0007703256363326299
elementos,0.0008368576463426285,0.0018823506141538845
05,0.0008352628906663625,0.0023245917774479584
apartamentos,0.0008305453554773493,0.001698838370769213
projeto,0.000830424421003709,0.002704459188505
social,0.0008295106466619695,0.0014142628941165812
portaria,0.0008233492688117827,0.0004268767701884734
contato,0.0008006052848261419,0.0028750870525627316
predio,0.0007981472806212267,0.0005833898358918115
alegre,0.0007926794648381515,0.0030975183439593346
futebol,0.0007792135327169673,0.0021691472500461086
deposito,0.0007678877946455045,0.0012730501053967067
shopping,0.0007647635263479026,0.0016933019732484362
lazer,0.0007584672495429238,0.001910324531002399
localizacao,0.0007561486734536403,0.0018329920689154117
quatro,0.0007538274688275785,0.0026088441983964663
amplitude,0.0007513747186331343,0.0035616338375169935
nobres,0.0007512187384020999,0.0029794076432884883
edificio,0.0007389720332144177,0.0016780293523046782
seguranca,0.0007303069787010264,0.0017612140435741214
bem,0.0007180552492239722,0.0035814145014771122
guarita,0.0006967292649861313,0.0025619376678763855
intimo,0.0006949923502225364,0.0021614787325969754
pensando,0.0006916794741451231,0.0020608872561789756
espera,0.0006905254203749873,0.0041163919818497504
agua,0.0006872864833098294,0.00400074922144964
privativa,0.0006835502304475788,0.0007595358440869899
infraestrutura,0.0006758536179906207,0.002166333212041562
andar,0.0006578202991486498,0.0005630268604617041
porto,0.0006562445780596977,0.002897607183591206
quadra,0.000652103418289084,0.0011412406386779972
excelente,0.0006469775187089848,0.0005812158316276883
sobre,0.0006286062294936448,0.004616806123110564
arquitetura,0.0006273952268978963,0.002933817422395353
seguro,0.0006272127108626822,0.0062208607020378635
adega,0.0006219775940009664,0.002170537081013157
03,0.0006198787045275304,0.0008650245351619664
poucos,0.0006154324973564137,0.0043837307440331335
contemporanea,0.0006140275685318353,0.002364188805393039
imponente,0.0006108730588534083,0.00368208155655881
individuais,0.0006093604759855111,0.0014231114710386134
facilidades,0.000608305042553915,0.004166718843612796
ampla,0.0006077730132700177,0.0026895594984501572
dupla,0.0006027220182335706,0.00038787744794957545
decorado,0.0006015988011473542,0.0014153726472685127
privativo,0.0005969368724981854,0.0014837798551544784
copa,0.0005955186389802289,0.0008362851029768767
desse,0.0005931348693728407,0.0041508302708107
jardim,0.0005916981399011099,0.0019019497799200563
todas,0.0005900660150007294,0.0033644512188702818
raridade,0.0005792594224333214,0.0016350985450623592
elevador,0.0005781887570802955,0.0005273538526386936
petropolis,0.0005732407245493759,0.0023228339904224687
verdadeiro,0.0005717299300118087,0.005680953228676895
necessarios,0.000569600306189659,0.003325351691467816
privilegiada,0.0005644548959090911,0.00307012741249022
gabinete,0.000554892328152063,0.0005861136742639722
metros,0.0005538807670841733,0.0019868134877975008
elevadores,0.0005498350273942667,0.0009361049010760984
modernidade,0.0005479532924187798,0.0031189523944409716
hall,0.0005448287653907917,0.0008612007010880165
aberta,0.0005402737295359453,0.0012093650822382145
integrada,0.0005297423968214434,0.0009803713436247177
coberturas,0.0005182463210373595,0.0016277984299795539
contemporaneo,0.0005110285782395218,0.0023321560029166857
interna,0.0005075718599422004,0.001926066266572417
estilo,0.0005059370699326568,0.0014671464583419745
valor,0.0005051076121010523,0.002264829678513077
acesso,0.0005014046124229984,0.001997644058986039
