feature,weight,std
suites,0.344529902617837,0.03934364932227947
sentir,0.2225293886651837,0.005489010431838982
suite,0.12402581399733496,0.020293661776308397
master,0.05678630226993553,0.0008768519139457314
lajes,0.03553373495694641,0.035817771915078005
vagas,0.03121903685887182,0.0028528296280093345
lavabo,0.022251373731198433,0.002594962929209087
dependencia,0.021837257505425332,0.0014304996539950031
lareira,0.017719289762805946,0.002048681865573493
acabamentos,0.012890914990405955,0.0016147468822345543
tranquilo,0.011134838690373905,0.010880581763875677
sacada,0.008414935419249758,0.003226453079458646
piscina,0.008138850153691046,0.000884071600278995
nobres,0.008089835936373602,0.00042105223883329233
desse,0.007019035638306148,5.344984272902932e-06
concebido,0.006656295849194205,0.00414704542755782
dormitorios,0.00584253329531621,0.0008265518525666943
futebol,0.005536897127161678,2.8218062760490378e-05
sofisticacao,0.005039060024168851,0.0017512950061722764
rara,0.004940518682166606,0.002201353468502691
sauna,0.004524987475081987,0.0004607300276456664
auxiliar,0.004304306715659512,0.00047252220459308755
fitness,0.0041070178001069825,0.0009409822102041035
vento,0.0038324251880257564,0.00043817036979469377
bela,0.0037645797809773727,0.00022098037452396993
saibro,0.00360024315138614,0.0012719204219021254
kids,0.003167746713732389,6.586647476553225e-05
mata,0.003134497502846689,0.007515866366802605
dormitorio,0.0031254960798682064,0.0001978808687478695
nativa,0.003044802256239154,0.0030889628637857476
condominio,0.002794003668008238,0.00022550793702166787
elementos,0.002519942800709063,0.001500341451173839
churrasqueira,0.002478085071157499,0.0004589520578159073
empregada,0.0024626672141742747,0.0006498532939528681
especialistas,0.0024479637946102305,0.00021839324245331558
salas,0.0023885191179950473,0.0007253658059651729
garden,0.002380692810983187,0.000830955345454158
amplitude,0.0021824698258643637,0.0006482559994568676
02,0.0021186691479071263,0.0004515048519437575
cozinha,0.001998700531494957,0.0001663960973020963
05,0.0019299519260761234,3.253879875349963e-05
playground,0.0018872383465500687,0.0003312439603941202
empreendimento,0.0018680561805790585,0.00027698949139432324
vista,0.0017712762159650675,0.0002175916066651424
disposicao,0.0017156245605566944,0.0009788614491630964
oferecer,0.0016606341545863045,2.322627823400225e-05
gerador,0.0016451422410498795,0.0001538148689385835
massagem,0.0016055234800579799,1.0935894970131797e-06
vaga,0.0015999139481389425,0.000519164271717785
moinhos,0.0015769600796078586,0.00012721355067968096
parques,0.0015743020188407231,3.862341223792194e-06
conversar,0.0015615683244161404,0.00031943352609169195
luxuoso,0.0015491320741675807,0.000483010352043602
privativo,0.0014942843665359362,0.0006436046332204341
shopping,0.0013829271781349516,0.0005757345250883049
encol,0.0013469224760970899,0.0004311795765726089
agua,0.0012762780569918642,0.0006694289023604072
bosque,0.001221179170741471,0.0011736053746142449
dois,0.0011920830514564828,0.0001298846824293274
dupla,0.0011770299261710804,0.00010980623308366498
integrada,0.0010984362308290806,0.0007608683624005908
verdadeiro,0.0010604951218659009,0.0
disso,0.0010540646779365614,0.0007623798165337637
portaria,0.0009981845505062426,0.0002930496898534541
inspirado,0.0009655863155522137,0.000376276952710789
24,0.0009494133632992341,0.00015696403131789071
elegancia,0.0009333565666700405,0.00011590355318113831
banheiro,0.0008208465348439331,0.0002624769007697893
padrao,0.0007911125325871015,9.632840040750268e-05
spa,0.0007633853609092745,0.00013103717732011044
apartamento,0.0007325009061450505,0.00025900710442451483
infraestrutura,0.0007316278034175339,0.0007606887274642338
aquecida,0.0007220551747611603,6.601515391697991e-05
banheiros,0.0007160927222834345,0.00010228536471676117
projeto,0.0007135617493927882,4.634643262190862e-05
espaco,0.0006810593351663785,0.00020132992098804647
fachadas,0.0006798527443054204,0.00024990018972730483
serem,0.000657576505654589,0.001315353044151256
escriturada,0.0006393555855875865,0.0001243459516690596
elevadores,0.0006377735856887279,0.00011044505226366165
lazer,0.0006275828150134721,0.0002229072370059932
guaiba,0.0005879161151666646,0.000394601889027824
servico,0.0005638493025578395,9.571335112698721e-05
sendo,0.0005572224882494537,0.0001114880906651387
completa,0.0005465584733839402,0.00024295181406687192
closet,0.0005450413930902398,5.844383150559132e-05
aberta,0.0005449051576201347,0.000343990873493065
preco,0.0005439794134499465,0.00010000967271188184
deposito,0.0005268775149424477,9.795720983279613e-05
hoteis,0.0005250167084873914,1.6075431131651966e-05
precisa,0.0005134433311819953,0.0013162316981934112
privativos,0.0005020856822324671,0.00015160491237961926
linda,0.000498107627734723,4.930038267250964e-05
cm,0.000496859949063122,0.0007505738913544668
comerciais,0.0004950373012001741,0.000490407070570785
cobertura,0.0004861752527787866,0.00011829188165273406
quadra,0.00048298013220908763,0.000628508158506572
viver,0.0004750560970285811,1.0902130141555229e-05
decorado,0.00045797700355449945,8.094984359670286e-05
localizado,0.0004575318137766349,0.00022753093167267484
unico,0.00044869183226359244,7.261071562694774e-05
copa,0.0004324048394558133,6.35975850159586e-05
elevador,0.0004320825285216268,0.0001046180601151332
planejada,0.00042216197334192794,6.649760998580561e-05
americana,0.00041609440444903003,0.00020848700230243354
luxo,0.00041584339037905595,0.00037072436349867247
proporciona,0.0004081004564940205,1.0200847889014113e-05
parcao,0.0004050746618823986,2.4794534787447213e-05
contemporaneo,0.00038737070649552674,7.2342999683330765e-06
vidro,0.0003858834902373154,6.902408684595745e-05
moderna,0.00036565130058070495,0.00015985534434680092
garagens,0.00036342070407691107,0.00010628171984955496
seguranca,0.0003446404830741212,8.53547376139371e-05
praca,0.00033490586370648056,0.00013981194717729048
separada,0.0003322052141820464,0.00021645185362947425
fachada,0.0003282997804813226,3.891676774106253e-05
vidros,0.00032729926237173856,3.781630437720218e-05
central,0.0003154465775021986,4.859231421116808e-05
alto,0.0003103003599706611,0.0009865260463899688
03,0.00030412318967019123,0.00010632005396452927
cenario,0.0003004823887640784,0.00036941229307928107
charmoso,0.0002978522998190236,0.000723066504583489
clube,0.000292626929185591,3.357116930505028e-05
mobiliado,0.00028947989002452433,5.08229849143531e-05
inferior,0.0002846932604095631,0.0003684687536323622
totalmente,0.0002729486398744152,0.00022820992889716502
diferente,0.0002719411836617835,2.6226725169689877e-05
melhor,0.00026476944674087567,8.299320964766306e-05
sacadao,0.00026292635874050065,2.826923994706964e-05
ter,0.0002611577410049692,3.52644613307136e-05
detalhe,0.00025955602671419166,3.6767795789316434e-06
amplo,0.00025503668236255274,0.00016990331708119697
estacionamento,0.0002542295309718945,4.5126827159113096e-05
vida,0.0002539776126891935,7.131089165064967e-05
uniao,0.00025362259541263923,6.725945440558164e-05
56,0.0002527610767450117,0.0005499396255863382
surpreender,0.0002519016152883191,2.096073203178897e-07
jogos,0.0002496452844065189,5.011322121317541e-05
impar,0.000246066101718645,4.309346577953668e-05
arquitetura,0.0002431471951810815,1.4986097270947563e-05
terraco,0.00024087619948311989,7.196781135601372e-05
57,0.00024003487078703146,0.0004809052082080408
onibus,0.00022710433194825797,3.263293708150035e-05
detalhes,0.0002248373309828855,4.12259689259108e-05
panoramica,0.000216858613904658,3.961251954417006e-05
12,0.00021290310877544182,4.252899505722167e-05
memorial,0.00021283309791102488,1.784876970862776e-05
av,0.00021260629988237856,4.915147569095481e-05
exclusividade,0.00020989832713522727,0.0005159438392589983
salao,0.00020689003068028456,0.0002468195899468425
requinte,0.00020552107597147096,5.444519020979395e-05
rua,0.00020409741139222338,4.173168662103304e-05
aquecimento,0.00019944248901113682,0.0001376655151062908
nobre,0.0001985110113059907,7.299766938081122e-05
tipo,0.000194879195817399,8.22130704399726e-05
excepcional,0.00019482128735743843,3.779145024626329e-05
raridade,0.00019247874547334565,5.101747347151747e-07
tradicional,0.00018553712328344129,3.9351698884491196e-05
montada,0.00018430371459301486,8.08553104766328e-05
onde,0.00017928988451150208,4.4823218960143095e-05
coracao,0.0001778215102711922,7.109599309308885e-05
sociais,0.00017675421541918368,0.00010681601335755264
personalizacao,0.00017621495994450952,0.00022951033118524906
casa,0.00017530718591964866,0.00011807030500329484
goldsztein,0.0001733012248243071,9.620541169640866e-06
pode,0.00017220910124520205,0.00014124715447273788
jk,0.0001690419762053308,2.3563621562163058e-05
incrivel,0.00016782754225794783,1.0165616523845687e-05
estilo,0.00016691550496827912,2.6978117314715103e-05
reserva,0.00016175726598728347,3.689314283152889e-05
perene,0.0001536098857705337,7.578705671201579e-05
diferenciado,0.00015012271260519405,7.220166084700897e-05
espetacular,0.00014969083198721478,2.4314606737756677e-05
infra,0.00014733408964417993,7.72796431853322e-05
quadrados,0.0001463898183823309,0.00010989164570082295
andar,0.000146367900573785,0.00022212493896360942
altos,0.0001436698756943411,4.528407812465497e-05
porto,0.0001420725493917363,7.633152332229914e-05
varanda,0.00014137099951854192,0.00011273540318827915
gas,0.00013928491141839138,7.65398612436945e-05
codificado,0.0001385335570984747,0.0
festa,0.00013664956380776694,0.00013701731883286757
redencao,0.00013607065882617064,2.2688521589948855e-05
significa,0.00013525221983550216,7.536045871990547e-06
38,0.0001345363521307652,2.6030558028410694e-05
proximo,0.00013248783352988182,0.00014057306136948147
bourbon,0.00013242056448701245,9.248708973369858e-05
seguindo,0.00013028753914219316,1.52747046446855e-06
conta,0.00012727475165563717,0.000117618354567418
curtir,0.0001263620378430197,3.7864526769014966e-05
duplex,0.00012545315647132237,3.1052405769469715e-05
privacidade,0.00012527031165594505,6.079115432470842e-05
castilhos,0.00012513201875670178,1.3654087255865477e-05
alcance,0.00012498771835400824,0.0
melhores,0.00012494016604913671,6.552190069589451e-05
esquadrias,0.0001231589713688752,3.0134709826233524e-05
sacadas,0.00012134522912674584,9.570598837873218e-06
500,0.00011609363952715945,1.6455433772897273e-06
novo,0.00011198058127646072,4.5463259476519794e-05
living,0.00011040834682423118,7.33279120917774e-05
torno,0.00011034461173431431,4.703215059609112e-05
duas,0.00010982622519244423,5.327545323777055e-05
esquina,0.00010896917939549056,2.0551973628711037e-05
apartamentos,0.00010783590432632551,5.260249123831876e-05
disponivel,0.00010699862299363705,9.629626396389827e-05
despensa,0.00010694968419941998,0.00014131027358197922
solar,0.00010510412744255682,6.824362203724438e-05
opcao,0.00010250028095828422,0.00013290541076614926
impecavel,0.00010249006562279561,1.8299347800244634e-05
loft,0.00010200735172889441,1.2463457135717261e-05
visitas,0.00010187719154128861,7.685549595550511e-05
gabinete,0.00010079488902210443,7.907354782431733e-05
ser,9.99346325032402e-05,9.671806780524063e-05
pvc,9.989568431576502e-05,1.283439389748252e-06
reformada,9.957292319113797e-05,5.284508927718792e-05
acabamento,9.950419671342914e-05,4.9156488694779334e-05
composto,9.940739479532556e-05,9.087195813833299e-05
pastilhas,9.915442985821698e-05,0.00011759182616025997
200,9.910195211679796e-05,0.00029172418834203304
nova,9.905486369758965e-05,0.0001510206122799125
