feature,weight,std
suites,0.2336076484656629,0.0241187005423635
sentir,0.16811184871600585,0.05177132856404501
suite,0.05552719820114681,0.006866569882907626
master,0.0355448372619677,0.012686174737704222
tranquilo,0.01902931978068902,0.04698236799320763
lavabo,0.016027309585035912,0.0028457622655301594
serem,0.01494509528384586,0.037616332665586796
lajes,0.014477657983613768,0.01356012743001496
concebido,0.012275199371114738,0.01951102884294543
lareira,0.011954135213081467,0.0064678687990775965
vagas,0.01150256133893588,0.004795901706507893
dependencia,0.010202339685424397,0.006924541205016742
sofisticacao,0.009872266248455133,0.011403467877714017
acabamentos,0.008360210368034943,0.005099632872474294
piscina,0.007696457688968551,0.009048853256980908
fachadas,0.007281282687731172,0.01270452179259958
especialistas,0.0068955181204039566,0.007736814823352685
bosque,0.006887220262910834,0.0267050560725914
mata,0.006512438012165623,0.012245594945270014
idealizado,0.006414309242379497,0.025670575239499886
conversar,0.006018124247413112,0.007240251040880781
nativa,0.005913485476417498,0.01449118147498521
revestidas,0.004791398035593048,0.010744344867226488
nobres,0.004688425095038075,0.0070892764371141255
empreendimento,0.00434569153838877,0.011278125592361524
rara,0.003710336028730853,0.00742660303933965
belissimo,0.0035571676882305593,0.004619781066117589
personalizacao,0.003362196917389125,0.02209037719322557
verdadeiro,0.0032470882668794543,0.02661141221645453
amplitude,0.003202263143118266,0.005826261963243896
sacada,0.0031930928442391814,0.005368158517161869
disso,0.0031515373477763414,0.004186159163479099
distribuido,0.0031096743773854755,0.018586078046875603
exclusividade,0.0029198730001059243,0.00544107018229635
saibro,0.0029159854838358913,0.007628312913996865
dormitorios,0.002909504340099614,0.0026386441164172303
sauna,0.002888683295769256,0.003112829197817367
apartamento,0.002887679669643263,0.0067006414066687415
luxo,0.0024824991150731797,0.0033151124168333494
empregada,0.0023898092458737195,0.003249123279084466
bela,0.002324865878235916,0.0024409894232713383
fitness,0.002308815164048901,0.002573650353598257
terreno,0.0022290620100694973,0.006372013023281522
05,0.0021933976420975875,0.003061907017163235
centers,0.0021836040672672374,0.011399840600811232
gerador,0.0020300978990306397,0.002644829900966372
alto,0.002018123241420286,0.002221167169473062
futebol,0.001985283869383323,0.0029141268165485787
auxiliar,0.0019511242485504314,0.0007332068424257959
preco,0.0019483730315400661,0.01447929901811649
elementos,0.0019420209314293725,0.002113883359993002
oferecer,0.001827079318843208,0.004266962282494048
condominio,0.0016994768791308262,0.002152138153557558
unico,0.0016797768223828712,0.008125866633058143
sao,0.0016295349565432194,0.005144824474966554
57,0.0016203370308732854,0.0024264866532299487
56,0.0015508768829536094,0.0039852485765442
cenario,0.001536873804513454,0.0024640200331476716
garden,0.0015197570134815141,0.0012024857272232162
varanda,0.001512864444874756,0.0038956277077072977
vento,0.0015090975657863356,0.0018620975487002155
churrasqueira,0.001507663256965958,0.0008112890071180643
garagem,0.0014798517654847475,0.0045541380065252535
luxuoso,0.0014447530695166015,0.002200484691642315
tipo,0.00144460139604891,0.002781039668622631
vista,0.0014232631842297642,0.0025156872784144295
espaco,0.001422885836739754,0.002019307696565107
privativo,0.0014207577260899266,0.0017062950384110842
ventos,0.0013838554029875555,0.004203112581877986
padrao,0.0013644605843967227,0.0015532430652248404
andar,0.0013410897135606539,0.0021668435765597313
200,0.001339675670841122,0.005227447207761393
charmoso,0.0013250397287571322,0.0027041134565102235
memorial,0.0013034123078056014,0.003322938652976523
jardim,0.001290738050884443,0.005466913834872366
hidro,0.001275274354830093,0.0033039883004897545
kids,0.0012381882352020667,0.0026607187059322053
adega,0.0012358020572252383,0.003195414527972203
spa,0.001199325615925117,0.002456342584373893
jantar,0.0011945986066562505,0.0024202844825014507
petropolis,0.0011715575580992191,0.004661566661701568
02,0.0011672267711514926,0.002406762183845535
vao,0.0011329674253357546,0.004853406969424442
praca,0.0011239523268499385,0.004544932479486842
casal,0.001114836455876281,0.001935122015216164
24,0.0010746595934407802,0.0016684022187245624
aberta,0.0010605137322062914,0.0016622083460269017
parques,0.001031240677886719,0.005013880406515879
modernidade,0.0010083744287329474,0.003662733182995775
salas,0.000974525128801614,0.0018947666762875355
requinte,0.0009634793842243296,0.0030143987169986533
interna,0.0009500445152644001,0.0031141771029494308
encol,0.000933251266182756,0.0016737673371829288
dormitorio,0.0009255643621452616,0.0006634728611137968
completa,0.0009176464204119137,0.0009441693334853326
onde,0.000916925991301979,0.0036079783135064734
75,0.0009145552185630745,0.0020658588346662075
gourmet,0.0009008149078571215,0.001075829402254031
bairro,0.000889725020888289,0.0012077399656897922
area,0.000886646265125777,0.0019157000765943916
cozinha,0.0008817508922992241,0.0013547986046310986
junto,0.0008807309581918784,0.004329749478607611
decorado,0.0008757727131152058,0.0017505688282737047
deposito,0.0008728535691428374,0.0011896630717572604
19,0.0008715426256352719,0.0029467928847225714
banheiro,0.0008622397504185169,0.0011199615740216135
sala,0.0008521024662243006,0.0015618089764225308
funcionarios,0.0008494260408016808,0.0022878114385477045
necessarios,0.00084642807126409,0.004148748197751339
qualidade,0.0008353260029337647,0.004213672357331887
especial,0.0008293363731592003,0.004515071315273602
elegancia,0.0008168858118444478,0.005734986792442281
shopping,0.0008121543862086895,0.0015087957432303695
coracao,0.0008118615273820008,0.0021260711570772993
amplo,0.0008111836821191061,0.0004111554704258368
filhos,0.0008035238283990785,0.0031689908146651587
cm,0.0007819492322180058,0.001256274414902812
aquecimento,0.0007754434560847795,0.0018932339689346532
portaria,0.000774618351435198,0.0005559994562256979
guarita,0.0007740818169473598,0.0026894854756814557
dupla,0.0007723263367979678,0.0004693459966403533
playground,0.0007678276124287699,0.0004276086874267217
vaga,0.0007595057868951485,0.0006554221665705736
porto,0.0007494349460268999,0.00407462236998434
massagem,0.0007490321745576861,0.0020559770608572993
infraestrutura,0.0007356682751347665,0.002269203617569692
localizacao,0.0007259655703258823,0.0026628331327916204
servico,0.0007166559358811567,0.0012348254763494874
pastilhas,0.0007136744661448342,0.00209154063247686
lazer,0.0007098758752613959,0.002540814098586907
moinhos,0.0007097285200484925,0.0008331361145037606
salao,0.0007061640249035242,0.0012748218482083618
espera,0.0007041885079388175,0.002991845478760658
quadra,0.0007024709395717657,0.0007852787604754877
privativa,0.0006898814504324763,0.000789988393849515
privacidade,0.0006882317177704466,0.004190503139004836
intimo,0.0006865797785049696,0.0019996430746309565
guaiba,0.0006742318120125211,0.0011600553893828178
contemporanea,0.0006491749683676574,0.0020148586691575367
sendo,0.0006441239970120248,0.0004901921558203019
grandes,0.0006439806127503067,0.004048046820824919
condominios,0.0006432711016593146,0.004971292834397208
horas,0.0006379915873703193,0.0017535626066456278
privilegiada,0.0006293708297965459,0.0038723120513855596
privativos,0.000623466564015766,0.001021831690876223
uniao,0.0006219590713222458,0.0006010965236481721
finamente,0.0006216096911283667,0.0011617170296488216
isolamento,0.0006192024700486503,0.004466137405193357
desse,0.000617103899453017,0.003041405080474857
carros,0.0006129007549325901,0.0005061975149154991
raridade,0.0006024809986797946,0.0019093378946200615
exclusivo,0.0005988791972009464,0.0030260297268257623
inferior,0.0005984008736730473,0.0007127704173967719
alinhado,0.0005971217100778082,0.0021938192423630216
integrada,0.0005958515822747159,0.0011675180761132194
banheiros,0.0005878376257007885,0.0010504355224775657
apartamentos,0.0005858140538506259,0.0013285548586935256
aquecida,0.000584016690731739,0.0026119157961191136
predio,0.000582231368554129,0.0008617309828546795
estao,0.0005793628617907063,0.003280930583891551
closet,0.0005781032166526143,0.0006323067892773333
caldeira,0.0005754935245835015,0.0016174747985709611
ambientes,0.0005750142278838654,0.0004946029730729111
tenis,0.0005743057838832415,0.0017697671295688279
caracteristicas,0.0005736447876103731,0.004540145324346281
lavanderia,0.0005721754479589054,0.0007624286336987205
convivio,0.0005704586103760849,0.0035791615102799975
detalhes,0.0005700074590428271,0.0012000973036429062
localiza,0.0005551425663316505,0.003171519203178537
escriturada,0.0005530886415742554,0.0005362755258718475
todos,0.0005518287792019439,0.0006823381666926406
casa,0.000551592930410651,0.0012959325298969883
indevassavel,0.0005509444784749153,0.002263223596930633
ampla,0.0005507671644386266,0.002744466609815363
automacao,0.0005489983619025405,0.0027546114080671765
projeto,0.0005470691476561161,0.0012610505321060794
tudo,0.0005469991826107968,0.0013163863451410441
coberta,0.000544834473595083,0.001222800126400963
coberturas,0.0005447962655045601,0.001759056599432471
80,0.0005438448078625708,0.0031302528590878625
elevadores,0.0005334036085740022,0.0009621695999344072
gabinete,0.0005294344406127832,0.0005541801107817785
todas,0.0005247955989139486,0.0020085768382866794
estar,0.0005246512478092571,0.0011868963653815655
frente,0.0005206548227587827,0.0014264034776729727
festas,0.0005194729850985221,0.0011011850622438212
abrir,0.0005171995089794606,0.0031453923753642053
dois,0.0005118936545179114,0.0008000760960983071
luminosidade,0.0005107265898228498,0.0021568182967657635
totalmente,0.0005019696233934715,0.0010220859580055998
planejada,0.0004994594300074372,0.00143412363562468
piso,0.0004988495515158843,0.0007968917220384954
proximo,0.0004977514659476559,0.00039207702411152024
