feature,weight,std
suites,0.35832151511980126,0.03324067516681076
sentir,0.22741295309519544,0.004270445945423617
suite,0.10427425464931558,0.010662419675751779
master,0.05693268374015685,0.0016122424802999442
vagas,0.03210921382302399,0.0033626586295981433
dependencia,0.025750679523228938,0.0014089830244864599
lavabo,0.025216009059672008,0.002483695581055473
acabamentos,0.014030161003260423,0.0017258354185549492
tranquilo,0.012123676727154309,0.011461268967176426
lareira,0.011184490776970101,0.002584142503694268
sofisticacao,0.00869435601838322,0.0026715831836121983
piscina,0.007511653877905933,0.0011469560089043592
conversar,0.005253100908011232,0.001625214783538333
lajes,0.005131149497571208,0.0022788377352433
concebido,0.005126314357626627,0.003519629254283803
desse,0.005002092304127004,1.9443242520368713e-07
cozinha,0.0048307096616040605,0.0015119737929144947
fitness,0.004800842245659043,0.001118949852733692
dormitorios,0.004719281964241562,0.0012234385155710918
bela,0.004009710674498401,0.00026255564865879376
auxiliar,0.003997331873056953,0.0004936643723409775
nativa,0.003863803605119354,0.0033620120083682347
condominio,0.0035239264474520304,0.00030348962227915203
vento,0.0033719796203887987,0.00027801633864092543
sacada,0.0032870296032601943,0.0010793399017561382
agua,0.002571061293678345,0.0012986867449541596
futebol,0.0025652784000975482,1.377123610803006e-06
solucoes,0.002525310075936171,0.0016968824055410843
dormitorio,0.0023158808729145885,0.00010611179249624857
02,0.0022370812711104636,0.0003320127188740836
kids,0.0021497925993285926,0.0001870575859961914
especialistas,0.0021424005102164134,0.00039763596266431054
moinhos,0.0021388469723071955,0.00017286559014778418
projeto,0.0018901682911894868,0.00011928834169286624
empreendimento,0.001815915355464659,0.00027070283202284114
vista,0.0018047942468069288,0.0003403821887132745
sauna,0.0015830299346403676,0.00022979839479085306
shopping,0.0015039416991791787,0.0006410303369396956
churrasqueira,0.0014992073107167104,0.0002331300654253195
bosque,0.001424830224874629,0.001404744742573747
comecar,0.001386971042979468,9.74739842736587e-05
amplitude,0.0013336948908486024,0.00044514626106640845
saibro,0.0013299617578664603,0.0005932628565117786
vaga,0.001288115771588516,0.00024002035686694915
disso,0.001282496630101848,0.0006353643532166348
fazem,0.0012753973654764162,0.0015745013992133764
24,0.0012376414227466491,0.00033695984708221905
banheiros,0.0012341909691136132,0.0005073738787224208
elementos,0.0012131441399552134,0.0005933692881625335
nobres,0.0012027289799870777,9.013736387696225e-05
apartamento,0.0011906642282979662,8.667530518027259e-05
tipo,0.0011747123889221055,0.00010853798770304254
gerador,0.0011725085711875582,0.00023755162013732066
04,0.0011656310401055414,2.812334971481939e-05
empregada,0.0011435923020904459,0.0010256926611603165
integrada,0.0011104753398885725,0.0008420388162118065
oferecer,0.0011071052379803658,4.311129470954431e-05
playground,0.0010989318320963504,0.0004090595883358972
living,0.001057887225337195,0.0009181938621528332
padrao,0.0009949339548459113,0.0001745439173188915
espaco,0.0009519385235262412,0.00040389227238685275
rara,0.000938038486864401,0.0005117610107283551
sacadao,0.0009325999195856305,5.658596730068702e-05
dois,0.0008865991488121505,5.099278842705694e-05
05,0.0008744581083014458,1.8774994321539462e-05
quadra,0.0008634754542558686,0.0005453008802695461
aquecida,0.0008511943090517393,8.872494305425117e-05
alto,0.0008126865823845142,0.0006334920590051903
dupla,0.0007938285414011315,0.0001301347400783783
completa,0.0007789084660394296,0.00013692150065128993
vidro,0.000768508897825737,0.00040998746951184927
casa,0.0007608160084166205,0.0005351670059395725
vidros,0.0007539808148041116,1.4147780980459406e-05
inspirado,0.0007376402331343401,0.00022944867629366058
personalizacao,0.0007167851014716397,0.0009046181716284991
elegancia,0.0007116443836266528,6.50934406876065e-05
ambientes,0.0006962982312584964,0.0002134302670614574
significa,0.0006956056858349547,2.7263808112707132e-05
quadrados,0.0006909897088974937,0.0002813163014608648
area,0.0006707580448982675,0.00042017834999857824
termica,0.0006505907859615911,2.827358478555612e-05
mata,0.0006188806585128547,0.0011420962192144118
cobertura,0.0006128442090074903,0.00022062978639576103
planejada,0.000595020342007313,3.105300771451921e-05
cadastre,0.0005777152483275039,5.696686565215668e-05
escriturada,0.0005627637491199434,0.0001618978068088957
portaria,0.0005554982336228198,0.0001320346146754182
decorado,0.0005553984974389526,2.982469378383268e-05
panoramica,0.0005540504711640803,8.918168021812203e-05
verdadeiro,0.0004899082794281862,0.0
lazer,0.00048799878451222245,8.893274888948856e-05
detalhe,0.0004838505736916909,1.771822271807145e-06
banheiro,0.0004775449421800415,0.0002241917522886206
criar,0.00047656095837567136,0.0008102994236621544
viver,0.0004724549933710964,4.3738062236536e-05
detalhes,0.0004715254176680617,1.9892956597316983e-05
terraco,0.0004669846996476545,0.000202122661133954
coberta,0.000466149824188955,0.00016649232896897372
cada,0.0004644207188080118,4.78464550430566e-05
carros,0.00045494351794785894,9.474241782111818e-05
festas,0.0004511677683374904,6.677139277137397e-05
sendo,0.00044128537008383264,0.00015724086028002745
guarita,0.0004304137787844775,8.252031591279425e-05
estar,0.0004275149809224832,0.0006520999926633
seguranca,0.0004267280266948781,0.00015940617036547998
americana,0.00040802256038348085,0.0001824910740330565
gabinete,0.0003982226884415185,0.0001159557786290932
contendo,0.0003979600478677403,0.0
separada,0.0003978374717200639,0.00017940947126171688
coracao,0.00039615894252125193,0.000353249405467559
elevador,0.00039365336943615327,0.000204426794861999
guaiba,0.0003868005122631635,3.282745577533306e-05
piscinas,0.00038526645802317017,0.000124117746144952
estacionamento,0.00036534481368051265,6.975684032419913e-05
social,0.00034077553634750404,0.00015374337637779993
pensado,0.00032794744680355594,1.9437900077490405e-05
arquitetura,0.00031261264777930896,8.471863574119622e-05
estilo,0.00031040243935345215,3.203863741497001e-05
onibus,0.00030787391362872005,1.5930976968346637e-05
amplo,0.0003077847372513931,0.00019947326060042362
arquitetonico,0.00030045952752002505,1.6419643967749205e-05
internacional,0.0002998114541251651,0.0
alteracao,0.00029779869719930295,1.0664456216166429e-05
garagens,0.00028851502099573877,2.697007490575678e-05
charmoso,0.0002875886564512431,0.0002873455791438791
parcao,0.0002839176557192902,7.90242757151583e-05
festa,0.0002784078046782712,0.00013612900654161788
voce,0.00027485998384748635,0.000191874722124914
materiais,0.0002710028832937139,5.953848212637536e-05
contato,0.000269832083084931,9.925874591840466e-05
cidade,0.00026545196377132375,0.00017219381847888502
rua,0.00026092023380079875,0.00016637542814854544
frente,0.000258818396155891,0.0005109747847580566
imovel,0.0002568471921813309,8.487318171086102e-05
encol,0.00025532105400465354,5.789476958172964e-05
lado,0.00025229593201978593,0.00030180142692387004
possui,0.0002504675576250559,0.00013585709199508158
25,0.0002392187800377421,1.950447704609205e-05
pastilhas,0.000238424823484662,0.00014820188797535756
ventiladas,0.00023523404127223646,0.00015038276544439505
cenario,0.00022955096397141438,0.0002590968079771667
apartamentos,0.0002254774757897149,4.148241410027117e-05
visita,0.00022525605359018374,0.0001917543216733509
privativa,0.00022065670765576418,0.00023756276887851695
impar,0.00021977062025027027,6.765311833622679e-05
visitantes,0.0002166081276505416,0.00017998062057132116
sociais,0.0002101711228336578,0.00012400299608071317
granito,0.0002087109930230424,0.00013448396812558745
aberta,0.0002075549192239734,0.00010807730778669709
cm,0.000199860021382392,0.0002379694488264813
sao,0.0001985624138113984,0.00034364246247228737
montada,0.00019822945972456374,4.5127295962404354e-05
garden,0.00019707534631807633,0.0002547773089116572
possibilidades,0.00019626598866944177,8.92172075827531e-06
central,0.00019399279268950131,7.770373068877226e-05
conforme,0.0001847360242824614,2.868991650304166e-07
conta,0.0001826944563545485,0.00010685277231668963
estoque,0.0001819329408158321,3.5632751741333876e-05
elevadores,0.0001793838206717746,0.00016929611178371907
03,0.00017589947835312537,9.161262206585262e-05
requinte,0.00017338069984704774,6.632447308938449e-06
calma,0.00017140256779539785,0.00022438048965991872
duas,0.0001671088322606318,8.915403419275494e-05
melhor,0.00016569426474082326,9.244756682102621e-05
gas,0.00016321710962199364,9.262988472251612e-05
diferenciado,0.00015991606342227182,6.140862996312742e-05
adulto,0.0001594140050548365,0.00013197164031605215
hoteis,0.0001538086981559106,1.4805708553031287e-05
incorporador,0.0001522622883129543,6.399450342134135e-07
nobre,0.00014992766724508666,0.00013519420647327686
especiais,0.00014846118486679937,0.0031427103469757888
intimo,0.00014802696661333492,2.612872873162952e-05
moderna,0.00014629230236111733,0.00010289316601225722
surpreender,0.00014349172884249307,3.6023263039197674e-09
termico,0.00014068071986492737,2.840909551102006e-06
excepcional,0.0001401692931272569,2.7041641943943143e-05
mobiliado,0.0001398280307641553,5.731946827888053e-05
pele,0.00013695481955924293,1.14520348716968e-05
copa,0.00013429353701632785,0.00012658463361638305
memorial,0.0001330848777725935,3.920783793959253e-05
tradicional,0.00013305224909445634,7.006490613658565e-05
privacidade,0.00013221165394099453,4.0770558915539966e-05
linda,0.00013057154663802527,4.366058122712505e-05
valores,0.00013010436062848018,6.4493156948231e-08
iluminado,0.0001279613825273751,4.095519207844202e-05
clubes,0.0001277567774346622,0.00010539609933159489
altos,0.00012671418891123664,6.934008975159301e-05
cyrela,0.00012324486161423563,7.916741920270122e-06
petropolis,0.00011920786103762904,9.291298518595244e-05
goldsztein,0.00011715078996017425,7.195513249230887e-06
energia,0.0001170856548156074,3.12174193818329e-05
maravilhoso,0.00011661901525181762,2.130523242852865e-05
iguatemi,0.00011561223747134087,7.785854400920013e-05
completo,0.00011381155870098248,3.157797466136276e-05
morar,0.00011374538511494947,3.4630575430317266e-05
jk,0.00011279246385202946,1.9975338533322832e-05
pode,0.00011208324564115912,0.00015675316218374043
historia,0.00011139186206250428,1.2120983086862274e-06
esquadrias,0.00011046910864727088,6.022951713217677e-05
fachada,0.00010983613462047792,4.0672890253897605e-05
acabamento,0.00010880100738899223,6.971165012084606e-05
casal,0.00010725252082210979,0.00012273354920793578
infra,0.00010605021476193244,0.00021893076809073277
otima,0.00010600527230029134,7.306918180256313e-05
regiao,0.00010232742893152569,5.33928132491054e-05
ja,0.00010158178224375369,0.00011067552384516917
disposicao,0.00010157631860361339,7.44822149112828e-05
metros,0.00010123138537014853,4.54396360670609e-05
hidromassagem,0.00010102606755837406,2.9278805640867336e-05
whatsapp,0.00010054649306765474,0.00013942420408782346
sujeitos,0.00010052690878736836,1.6216549155193272e-06
amplos,9.702098300270467e-05,9.82808682399686e-05
sala,9.577378308085471e-05,0.00039073720009723576
56,9.543835215819474e-05,0.0002271906918163466
av,9.408968263424633e-05,3.725139167627691e-05
visitas,9.346589623639989e-05,7.865199035937784e-05
melnick,9.248181097216701e-05,0.000133137390639299
andar,9.226321585875663e-05,0.00014404032119006373
novas,9.210875031102627e-05,0.00017488876278948007
espera,9.209941555403667e-05,6.837884666094766e-05
pessoas,9.190864745522997e-05,0.00013577520144285725
tranquilidade,9.085018345595941e-05,0.0001889474923919499
tambem,9.003816601935722e-05,4.106580929118589e-05
aquecimento,8.929831111146314e-05,9.174517159982225e-06
bicicletario,8.813836486902815e-05,1.3307964428217376e-05
condicoes,8.770712091825672e-05,2.0205777511796022e-05
conforto,8.52568215513383e-05,0.0001903085784212928
jogos,8.50430448143813e-05,1.953058564737227e-05
lounge,8.441169707524842e-05,3.445015927770555e-06
quiosques,8.413454382274476e-05,1.959244607656561e-05
saida,8.352137896991963e-05,6.637478003349858e-05
deck,8.167145632795859e-05,3.932826534476451e-05
qualidade,8.07271751277261e-05,4.2763676216173175e-05
hs,8.01196832926232e-05,4.2554092722229816e-05
branco,7.97535826676965e-05,8.065988709584512e-06
agende,7.960088406149257e-05,0.00019346911539651194
excelente,7.864795941034953e-05,0.00011117103144597455
curtir,7.84991116614675e-05,2.8525204799217707e-05
arborizada,7.813554842006631e-05,8.992283126205554e-05
churrasqueiras,7.809900106283684e-05,4.132198808801356e-05
possibilidade,7.759576947117264e-05,2.8450931905140072e-05
sistema,7.661836854175875e-05,1.9831471082973737e-05
vida,7.635117867854646e-05,4.2915158645955996e-05
onde,7.59373954715592e-05,2.0146947333481297e-05
americanas,7.242421326665305e-05,1.2202284618201277e-05
definida,7.195354196449788e-05,4.4222895104968415e-05
raridade,7.193548051409593e-05,1.613222988194286e-07
deposito,7.183490173421348e-05,4.4257615323143024e-05
plantas,7.113050446541091e-05,6.043343222204367e-06
teatro,7.046768580791785e-05,1.0350238346726598e-05
amigos,7.027521730749165e-05,1.1603970469969062e-05
