feature,weight,std
suites,0.2350122072890942,0.024144471762496077
sentir,0.1684138368312088,0.05216730074160515
suite,0.055864428022790256,0.006895786848364462
master,0.035601698604571366,0.013675440331472312
lavabo,0.01722500321609658,0.004080172313363811
sofisticacao,0.015912021681569185,0.015158248442178253
tranquilo,0.01585801614520836,0.04062413777633874
lajes,0.015074728402934851,0.021981925076629324
lareira,0.011355516875963754,0.00709928730257592
vagas,0.011227350634898776,0.004717374247085369
serem,0.010321469271768493,0.034550010140342945
dependencia,0.010098918084448827,0.007126279567817514
concebido,0.010095562332588872,0.01844330933033575
piscina,0.00996729457205391,0.011029156087563583
revestidas,0.008822765549697392,0.018004626477884266
acabamentos,0.008763681256131924,0.005058809114194151
preco,0.007590765308423777,0.028717892212402778
nativa,0.007192218336420415,0.017077053151514875
personalizacao,0.007144290180753766,0.03272056311333098
bosque,0.006938331806085503,0.02725306426062153
conversar,0.006914722589461562,0.007411676619776408
especialistas,0.00602778719372772,0.007695834949995563
terreno,0.005769438184695509,0.010360767890620537
fazem,0.0044412125033749085,0.010367455007757233
belissimo,0.00426976399403312,0.005387869222324285
idealizado,0.003957926952890984,0.02470839956331626
criar,0.003769548604083067,0.008979467472292746
dormitorios,0.0036147196087930942,0.0020905832681125326
solucoes,0.003458644104892864,0.007726794286080182
distribuido,0.0033566641000687615,0.02133943216263788
filhos,0.003193823723864739,0.00600777517965905
disso,0.0031708870417504003,0.0044724077608634385
cozinha,0.0028767370483421444,0.0033362995506272973
especiais,0.002796982115809778,0.004941865139018884
fachadas,0.0027822787408618176,0.008173724189894828
bela,0.0027592519331368975,0.0033012968516904252
unico,0.002715463097299757,0.00758432442721189
empreendimento,0.0026179958847714646,0.007581090942054575
padrao,0.002534556830687822,0.0035143235434613868
amplitude,0.002488909670452309,0.005222581381997264
mata,0.0024713242007583084,0.008940501022803006
sacada,0.002406475133236638,0.0031065639209730293
sauna,0.002302136010517346,0.0026558302669539634
apartamento,0.0022709962961792924,0.002217041861688142
hidro,0.0022380153752514413,0.005099286853767056
fitness,0.002231765986143321,0.0014772094149715625
alto,0.0021750472014624815,0.0032159750713963
churrasqueira,0.0021643599110658055,0.0016015954559315396
condominio,0.0020844214314341605,0.0009710697837627783
momento,0.0020843118754678507,0.010795654563114319
empregada,0.0020147680051277863,0.002866126898052625
cobertura,0.0020036300064107614,0.0028244818222949945
gerador,0.0019238049959273058,0.0017966455937338008
bairro,0.0019200878925485004,0.004289002537732079
luxo,0.001882768587789314,0.002921428502551696
espaco,0.001875699612335377,0.002153207034621954
57,0.0017551989367899147,0.002562300778967243
auxiliar,0.0016990559824850246,0.0006347390493430623
futebol,0.0016853396558863692,0.0029406269180513177
conforto,0.0016613197210348693,0.0035772178650686237
oferecer,0.0016580394959734718,0.0038479122543899932
garagem,0.0015710910989608134,0.0017531816822287643
exclusividade,0.0015558470685687151,0.0046340245762419765
vista,0.0015486540478123485,0.0013653490099699928
saibro,0.0015238866455293731,0.004266349412656859
