feature,weight,std
vagas,0.09392698070980146,0.008165147099377068
salao,0.05928394585076831,0.019978736126744848
ambientes,0.02283210638615287,0.006966170975365102
lavabo,0.017131395012847862,0.004626654459458173
suites,0.00826802550104162,0.001572281803967334
elevador,0.008083572162979636,0.002271857039308692
area,0.00601381460878656,0.0017194572165596543
03,0.00550934527000777,0.0003925257657987259
piscina,0.004221373343165169,0.00038825787071622675
mobiliado,0.002706445134555224,0.00017850900019057115
sistema,0.0018830226419083828,0.0004382894863182182
estar,0.0017726531169387273,0.0007294765773364608
apartamentos,0.0012617437610117576,0.0008974645271488145
closet,0.0011219290465248831,0.000849852887693766
seguranca,0.000943779304321879,7.350532514829561e-05
coletiva,0.0007373680405464711,0.0010367913504772807
cozinha,0.0006656424391337623,0.0004508365718105234
centro,0.0006544661446298506,0.00030843082227485275
02,0.0006222770733018024,0.0008376902524055365
todos,0.0005318268386474756,0.0002749048975105749
alto,0.0005092786410330064,4.38219021325266e-05
infraestrutura,0.0004980778896083393,3.6305641994449144e-05
festas,0.0004884353722673041,1.9096592941934293e-05
agende,0.00046859997744377326,2.3797083336917925e-05
sacada,0.00044584214568317294,0.0006490513960637249
excelente,0.00032490825141735514,5.0897459041766144e-05
moinhos,0.00026191336461351967,5.7309159812108645e-05
sauna,0.00025992111123969154,0.00015043269659620686
frente,0.00024532082895234453,0.00011539993715814488
bem,0.00018826338703092915,1.0660127489420255e-05
vaga,0.00016526570987593914,3.095025887388703e-05
venda,0.00016263926044075562,6.507946747367944e-05
opcoes,0.00016014832008295343,5.5424211992843984e-05
fim,0.00015732189280583952,0.00017482837592335633
lima,0.00011902700533141796,6.061371643420152e-05
minutos,0.00010956481551716024,2.5684079619062665e-05
empregada,9.591269933366675e-05,0.00038802674995230927
auxiliadora,9.042711185998087e-05,5.448537396540182e-05
dormitorios,8.954342989682118e-05,0.00024466618800955084
sala,8.298733932292635e-05,0.0013696205700206446
dupla,7.821246492198953e-05,0.00025011479168554396
completa,7.804687774068953e-05,0.00013588263161042882
junto,5.970905772869628e-05,8.924313731903041e-05
proximo,5.366759677940536e-05,8.804322551891228e-05
ar,5.095131895700433e-05,2.7564712102922225e-05
completo,4.277195347981433e-05,3.3718978664306304e-05
andar,3.65369566679874e-05,1.239018146865044e-05
empreendimento,3.472886284612286e-05,1.1965821487099506e-05
ainda,2.6290443088328175e-05,7.065833638419199e-05
santana,2.151631084075234e-05,3.254084422450974e-05
box,1.5525709204666783e-05,4.972032505451871e-05
facil,1.3741243429876704e-05,1.4147018043479893e-05
humaita,1.122793047443338e-05,3.401061368274597e-05
entrada,6.478107036400616e-06,2.2533658181797522e-05
detalhes,5.427951606407078e-06,4.065738264547862e-06
100,4.740570574313097e-06,1.6433487502306064e-05
cobertura,2.569596688317688e-06,1.9865025739377237e-05
disponivel,0.0,0.0
deslocamento,0.0,0.0
disposicao,0.0,0.0
disponiveis,0.0,0.0
deslocando,0.0,0.0
desfrute,0.0,0.0
disponibilizar,0.0,0.0
deslumbrante,0.0,0.0
disponibilidade,0.0,0.0
design,0.0,0.0
devido,0.0,0.0
disso,0.0,0.0
distancia,0.0,0.0
dispoe,0.0,0.0
desfrutar,0.0,0.0
desenvolvimento,0.0,0.0
distintos,0.0,0.0
distribuicao,0.0,0.0
distribuida,0.0,0.0
distribuidas,0.0,0.0
distribuido,0.0,0.0
distribuidos,0.0,0.0
despensa,0.0,0.0
direto,0.0,0.0
dessa,0.0,0.0
diferenciados,0.0,0.0
detalhe,0.0,0.0
deste,0.0,0.0
dez,0.0,0.0
dezembro,0.0,0.0
diariamente,0.0,0.0
destaque,0.0,0.0
diaristas,0.0,0.0
dias,0.0,0.0
diferenciada,0.0,0.0
diferenciadas,0.0,0.0
destaca,0.0,0.0
desta,0.0,0.0
dispensa,0.0,0.0
diferenciais,0.0,0.0
diferencial,0.0,0.0
diferencias,0.0,0.0
diferente,0.0,0.0
desse,0.0,0.0
diferentes,0.0,0.0
digital,0.0,0.0
direito,0.0,0.0
direta,0.0,0.0
diretamente,0.0,0.0
deus,0.0,0.0
dia,0.0,0.0
dorm,0.0,0.0
diurno,0.0,0.0
eletronico,0.0,0.0
elias,0.0,0.0
elevadores,0.0,0.0
elevado,0.0,0.0
elevada,0.0,0.0
eletros,0.0,0.0
eletronicos,0.0,0.0
eletronica,0.0,0.0
diversas,0.0,0.0
eletrodomesticos,0.0,0.0
eletricos,0.0,0.0
eletrico,0.0,0.0
eletricas,0.0,0.0
eletrica,0.0,0.0
elementos,0.0,0.0
email,0.0,0.0
embutida,0.0,0.0
embutido,0.0,0.0
embutidos,0.0,0.0
emergencia,0.0,0.0
empreendimentos,0.0,0.0
emprega,0.0,0.0
empregados,0.0,0.0
encantador,0.0,0.0
encantadora,0.0,0.0
encantar,0.0,0.0
encante,0.0,0.0
encol,0.0,0.0
encomendas,0.0,0.0
encontra,0.0,0.0
encontram,0.0,0.0
encontrar,0.0,0.0
elegante,0.0,0.0
elegancia,0.0,0.0
eixo,0.0,0.0
doroteia,0.0,0.0
diversificado,0.0,0.0
diversos,0.0,0.0
dividido,0.0,0.0
divididos,0.0,0.0
divisa,0.0,0.0
divisoria,0.0,0.0
documentacao,0.0,0.0
dohms,0.0,0.0
dois,0.0,0.0
dom,0.0,0.0
domingos,0.0,0.0
dona,0.0,0.0
desempenho,0.0,0.0
dorneles,0.0,0.0
doutor,0.0,0.0
educacao,0.0,0.0
dr,0.0,0.0
duplas,0.0,0.0
duplex,0.0,0.0
duplo,0.0,0.0
duplos,0.0,0.0
duque,0.0,0.0
durabilidade,0.0,0.0
durante,0.0,0.0
dutra,0.0,0.0
duvidas,0.0,0.0
eclusa,0.0,0.0
ecologica,0.0,0.0
edificacao,0.0,0.0
edificio,0.0,0.0
desenvolvido,0.0,0.0
deposito,0.0,0.0
deseja,0.0,0.0
construtivo,0.0,0.0
contando,0.0,0.0
conta,0.0,0.0
consumo,0.0,0.0
consultor,0.0,0.0
consulte,0.0,0.0
construtora,0.0,0.0
construtivos,0.0,0.0
construido,0.0,0.0
conjugada,0.0,0.0
construida,0.0,0.0
construcao,0.0,0.0
constant,0.0,0.0
consta,0.0,0.0
conservado,0.0,0.0
conservacao,0.0,0.0
conosco,0.0,0.0
contar,0.0,0.0
contara,0.0,0.0
contatar,0.0,0.0
contate,0.0,0.0
conveniencias,0.0,0.0
conveniencia,0.0,0.0
conveniada,0.0,0.0
convencao,0.0,0.0
controle,0.0,0.0
contra,0.0,0.0
contendo,0.0,0.0
contemporaneo,0.0,0.0
contemporanea,0.0,0.0
contemplacao,0.0,0.0
contempla,0.0,0.0
contem,0.0,0.0
conte,0.0,0.0
contatos,0.0,0.0
contato,0.0,0.0
conjunto,0.0,0.0
conhecido,0.0,0.0
converse,0.0,0.0
concebido,0.0,0.0
condicoes,0.0,0.0
condicionados,0.0,0.0
condicionado,0.0,0.0
concreto,0.0,0.0
concierge,0.0,0.0
conceito,0.0,0.0
conceicao,0.0,0.0
comuns,0.0,0.0
conhecida,0.0,0.0
comunitarias,0.0,0.0
comunitaria,0.0,0.0
comprove,0.0,0.0
compras,0.0,0.0
comprar,0.0,0.0
compra,0.0,0.0
composto,0.0,0.0
condominal,0.0,0.0
condominiais,0.0,0.0
condominial,0.0,0.0
condominios,0.0,0.0
conhecer,0.0,0.0
conhece,0.0,0.0
conheca,0.0,0.0
confraternizacao,0.0,0.0
conforto,0.0,0.0
confortavel,0.0,0.0
confortaveis,0.0,0.0
conforme,0.0,0.0
confirmacao,0.0,0.0
confira,0.0,0.0
conferir,0.0,0.0
confeitarias,0.0,0.0
conducoes,0.0,0.0
conducao,0.0,0.0
condominos,0.0,0.0
conversar,0.0,0.0
convida,0.0,0.0
desde,0.0,0.0
deck,0.0,0.0
definidos,0.0,0.0
definida,0.0,0.0
decorados,0.0,0.0
decorado,0.0,0.0
decoradas,0.0,0.0
decorada,0.0,0.0
decoracao,0.0,0.0
decimo,0.0,0.0
cuidado,0.0,0.0
dando,0.0,0.0
dacao,0.0,0.0
cyrela,0.0,0.0
custo,0.0,0.0
curtir,0.0,0.0
curtas,0.0,0.0
curta,0.0,0.0
definitiva,0.0,0.0
deg,0.0,0.0
degandar,0.0,0.0
deixe,0.0,0.0
descritivo,0.0,0.0
descoberto,0.0,0.0
descoberta,0.0,0.0
descanso,0.0,0.0
deques,0.0,0.0
depurador,0.0,0.0
depositos,0.0,0.0
endereco,0.0,0.0
dependencias,0.0,0.0
dependencia,0.0,0.0
dep,0.0,0.0
dentro,0.0,0.0
denominado,0.0,0.0
demetrio,0.0,0.0
demais,0.0,0.0
cultura,0.0,0.0
cuba,0.0,0.0
convivencia,0.0,0.0
corredores,0.0,0.0
cortinas,0.0,0.0
cortina,0.0,0.0
corretores,0.0,0.0
corretoras,0.0,0.0
corretora,0.0,0.0
corretor,0.0,0.0
correr,0.0,0.0
corredor,0.0,0.0
cruzada,0.0,0.0
coronel,0.0,0.0
coracao,0.0,0.0
cor,0.0,0.0
copa,0.0,0.0
cooktop,0.0,0.0
cook,0.0,0.0
convivio,0.0,0.0
cosmopolita,0.0,0.0
costa,0.0,0.0
cotidiano,0.0,0.0
country,0.0,0.0
cristovao,0.0,0.0
cristo,0.0,0.0
cristiano,0.0,0.0
cristal,0.0,0.0
criar,0.0,0.0
criando,0.0,0.0
criancas,0.0,0.0
criado,0.0,0.0
crescimento,0.0,0.0
credenciados,0.0,0.0
credenciado,0.0,0.0
credenciada,0.0,0.0
creches,0.0,0.0
creche,0.0,0.0
coworking,0.0,0.0
encontrara,0.0,0.0
zuckhan,0.0,0.0
energia,0.0,0.0
futuro,0.0,0.0
fundos,0.0,0.0
fundo,0.0,0.0
funcionarios,0.0,0.0
funcionalidade,0.0,0.0
funcional,0.0,0.0
fruteiras,0.0,0.0
frontal,0.0,0.0
frio,0.0,0.0
frias,0.0,0.0
frequencias,0.0,0.0
freeway,0.0,0.0
free,0.0,0.0
francisco,0.0,0.0
franca,0.0,0.0
fotos,0.0,0.0
futebol,0.0,0.0
gabarito,0.0,0.0
forte,0.0,0.0
gabinete,0.0,0.0
gasometro,0.0,0.0
gasolina,0.0,0.0
gas,0.0,0.0
garibaldi,0.0,0.0
gardens,0.0,0.0
garcia,0.0,0.0
garantindo,0.0,0.0
garantido,0.0,0.0
garantida,0.0,0.0
garantia,0.0,0.0
garantem,0.0,0.0
garante,0.0,0.0
garagens,0.0,0.0
gama,0.0,0.0
galeria,0.0,0.0
forum,0.0,0.0
forro,0.0,0.0
gaucha,0.0,0.0
firenze,0.0,0.0
financiamento,0.0,0.0
financiado,0.0,0.0
finamente,0.0,0.0
final,0.0,0.0
finais,0.0,0.0
filhos,0.0,0.0
filho,0.0,0.0
figueiras,0.0,0.0
ficara,0.0,0.0
ficar,0.0,0.0
ficando,0.0,0.0
ficam,0.0,0.0
fica,0.0,0.0
fi,0.0,0.0
fgts,0.0,0.0
fino,0.0,0.0
fischer,0.0,0.0
foro,0.0,0.0
fixa,0.0,0.0
forno,0.0,0.0
forma,0.0,0.0
fontoura,0.0,0.0
fones,0.0,0.0
fone,0.0,0.0
folego,0.0,0.0
fogo,0.0,0.0
fogao,0.0,0.0
focada,0.0,0.0
fluxo,0.0,0.0
flutuante,0.0,0.0
floresta,0.0,0.0
florenca,0.0,0.0
flat,0.0,0.0
fixo,0.0,0.0
gastronomia,0.0,0.0
gaucho,0.0,0.0
ferramentaria,0.0,0.0
horario,0.0,0.0
home,0.0,0.0
hoje,0.0,0.0
historico,0.0,0.0
historia,0.0,0.0
hipermercados,0.0,0.0
hipermercado,0.0,0.0
