feature,weight
sentir,0.19342048
bosque,0.06238032
conversar,0.03381063
suites,0.032189447
lajes,0.021244975
amplitude,0.020351456
terreno,0.019989334
personalizacao,0.019618873
master,0.017389318
memorial,0.017017841
revestidas,0.0159232
abrir,0.015714793
acustico,0.015432656
disso,0.010967532
lareira,0.009962373
marmore,0.009349519
serem,0.009096153
alegre,0.008901526
viver,0.008899294
luxo,0.008548328
guarita,0.008356637
fachadas,0.00817746
termico,0.00809746
caracteristicas,0.007615875
sauna,0.006541905
falar,0.006324063
coberturas,0.0063024545
sofisticacao,0.0061941785
suite,0.006039728
acabamentos,0.0059727565
privativo,0.0058666333
moradores,0.0057923184
piscina,0.0053938986
dependencia,0.0053184275
hidro,0.0052631334
lavabo,0.0050447136
39,0.005044063
natureza,0.004878941
vao,0.0047322856
elegancia,0.0046560583
bela,0.004497407
vidros,0.0043464177
belissimo,0.0043204133
300,0.004211509
spa,0.0041110446
intimo,0.0038939593
cenario,0.0038431785
vagas,0.0035030767
americanas,0.0033835038
padrao,0.0033470346
vento,0.0033096024
tempo,0.0032105471
anos,0.0032099378
empregada,0.0032065327
futebol,0.003158923
saibro,0.003119793
apenas,0.0030316936
granito,0.0029016887
cada,0.0028984272
localizado,0.0028408132
filhos,0.002731175
deposito,0.0026271625
moinhos,0.0026148811
regiao,0.00253954
kids,0.0024987406
05,0.0024817027
unico,0.0024433462
quartos,0.0024373094
arquitetura,0.002424234
visitantes,0.002366789
charmoso,0.0023541672
blindada,0.0023423168
finamente,0.0023269427
deste,0.0022356154
sacada,0.0022280668
amplos,0.0021957224
maior,0.0019871185
cinema,0.0019708013
20,0.001963119
bancos,0.0019603586
gerador,0.0019471003
experiencia,0.0019458648
massagem,0.0019126531
uniao,0.001901449
moderna,0.0018748292
guaiba,0.0018552521
empreendimento,0.0018257586
separada,0.0017555375
financiamento,0.0017507048
2021,0.0017407136
nilo,0.0017356814
sofisticado,0.0016870861
pagamento,0.0016507158
outro,0.0016366343
diferenciada,0.0016152554
fazem,0.001551541
57,0.0014775824
lugar,0.0014766196
revestida,0.0014738264
servico,0.0014590186
salao,0.0014494521
200,0.0014444034
fechado,0.0014109312
detalhe,0.0014099993
inteiro,0.0013721576
energia,0.0012394073
vida,0.0012359173
cobertura,0.0012339591
ilha,0.001182235
29,0.0011593669
360,0.0011482348
semimobiliado,0.0011456608
sala,0.0011252848
traz,0.001085949
privativos,0.0010744268
cm,0.001061339
auxiliar,0.001039663
sociais,0.0010229591
decorado,0.001022918
coracao,0.0010162425
tipo,0.0010046405
onibus,0.0009983724
outras,0.0009719802
dormitorios,0.000968245
pensado,0.00096605346
branco,0.00096377224
gabinete,0.0009518693
fitness,0.00094398315
care,0.00094348675
aquecida,0.0009349459
vista,0.00093252904
anchieta,0.0009259171
individuais,0.0009192468
tv,0.0009143611
dormitorio,0.0009095032
historia,0.00090175134
elevador,0.00090028805
americana,0.000897553
closet,0.0008898688
desempenho,0.0008812793
apartamento,0.0008812179
adega,0.0008698895
localiza,0.0008656674
todos,0.0008648371
garden,0.00085047114
arquitetonico,0.0008493183
estar,0.00084727345
160,0.00084350805
detalhes,0.00083426764
exclusivo,0.0008116221
playground,0.00078372355
contemporaneo,0.0007795704
conhecer,0.00077892357
abertura,0.0007754618
venda,0.00077450566
lobby,0.0007714824
jacuzzi,0.00076378713
carros,0.000751426
grandes,0.00074551755
port,0.00071740284
club,0.00071640464
alarme,0.0007125708
80,0.00068673055
fi,0.000684132
atraves,0.0006813643
torre,0.00067511667
excelente,0.0006696114
internacional,0.0006690409
completa,0.0006659349
espetacular,0.00065414136
luxuoso,0.0006523405
esquadrias,0.00064666424
encol,0.0006438592
aquecido,0.00064341543
outra,0.0006365519
altos,0.00061930856
whats,0.0006138488
primeiro,0.00060906267
casa,0.00060763134
condominio,0.00060016016
jantar,0.0005992753
terraco,0.0005877295
automatizada,0.0005729058
individual,0.0005723286
pecanha,0.0005706425
17,0.000566689
alteracao,0.0005570678
adquirir,0.0005441396
aproveitamentos,0.000543058
portaria,0.0005406554
varanda,0.00054048083
praticidades,0.0005390313
areas,0.00053267955
dupla,0.0005301825
11,0.0005279672
imponente,0.00052241964
principal,0.00051490305
especialistas,0.0005083395
estacionamento,0.0005068763
rio,0.00050263834
projeto,0.0004988297
edificacao,0.0004919954
garante,0.0004893385
melhor,0.00048164028
iluminacao,0.00047866118
tudo,0.00047751042
exuberante,0.00047154276
quatro,0.00046613245
menino,0.00046551466
laundry,0.000464414
pra,0.0004533109
serrat,0.0004415416
deslumbrante,0.00043977294
aquecimento,0.00043863556
util,0.00043862313
02,0.00043703255
germania,0.00043430316
proporcionando,0.0004308516
lavanderia,0.0004220927
seca,0.0004220358
deus,0.00041760513
termica,0.00041702096
cozinha,0.0004167702
magnifico,0.00041372637
indevassavel,0.00041065915
contemporanea,0.0004081927
tradicional,0.00039875327
cafes,0.0003954353
hall,0.00039070283
valores,0.0003892883
rotativa,0.0003865946
nova,0.00038604336
imoveis,0.0003854304
semi,0.00038453453
balcoes,0.00038418573
fachada,0.00038394082
residenciais,0.00037791862
quadra,0.0003750521
bar,0.00037474086
integracao,0.00037401426
passos,0.00037351772
nobres,0.00037340744
124,0.00037220345
gesso,0.00036594158
vaga,0.00036511407
alto,0.00036506748
automacao,0.00036015036
tres,0.00036014733
comodidade,0.0003594632
bosco,0.0003577676
poliesportiva,0.0003571348
churrasqueiras,0.00035606354
familia,0.0003537236
churrasqueira,0.00035243307
espaco,0.0003522175
baltazar,0.00034958086
111,0.00034690025
elegante,0.00034500746
pizza,0.00034488807
construtivo,0.00034441976
tristeza,0.00034215633
gourmet,0.0003408417
carlos,0.00034008492
lavado,0.00033458238
uniritter,0.00033166862
mezanino,0.000331217
classico,0.0003238734
bairro,0.0003236779
diversos,0.00032250825
festas,0.00032198525
excelentes,0.0003186447
123,0.0003183157
pastilha,0.0003167371
aptos,0.0003164032
condominial,0.00031610279
aproveitamento,0.0003152701
abreu,0.0003123425
provincia,0.00031115397
nobre,0.0003110833
86,0.00030974924
junto,0.00030578152
living,0.0003057783
153,0.00030532692
neste,0.0003041893
figueiras,0.00030074612
lancamento,0.00030037152
area,0.00030035127
metros,0.0003000735
espacoso,0.0002992551
unidade,0.00029791804
sacadao,0.00029399022
copa,0.0002911759
grande,0.0002881666
parcao,0.00028314895
jogos,0.0002830674
recursos,0.00028141736
fim,0.00027972183
moveis,0.0002784754
consulte,0.00027693744
jk,0.00027556298
inferior,0.00027536007
apartamentos,0.00027516272
brinquedoteca,0.0002724803
duplo,0.0002720137
transporte,0.0002713128
hidromassagem,0.00027127005
diferenciado,0.0002667431
residencial,0.00026564026
abrangente,0.0002636959
escritorio,0.00026323175
oportunidades,0.00026062137
escrituradas,0.00025978248
condicionado,0.00025859076
churrasco,0.00025823578
espera,0.00025785746
use,0.00025689314
andar,0.00025663676
clubes,0.0002561972
bem,0.00025489004
decoracao,0.0002544544
todas,0.00024916968
terreo,0.00024689263
mall,0.0002446365
condicoes,0.00024342549
unidades,0.00024213544
cosmopolita,0.00024188867
horas,0.000241157
campo,0.00023972416
amigos,0.00023781028
despensa,0.00023756687
pessoas,0.00023404325
loja,0.0002339145
impecavel,0.00023136336
pedra,0.00023028269
familias,0.00023009951
atividades,0.00023006472
zaffari,0.00022979244
bancada,0.00022896669
estilo,0.00022882638
quadrados,0.00022874816
mobiliadas,0.00022776339
centros,0.00022769361
petropolis,0.00022548561
escriturada,0.00022270356
tenis,0.00022249135
praticidade,0.00022202914
referencia,0.00022129071
outubro,0.00022098389
sacadas,0.0002195387
aberta,0.00021947974
total,0.00021857808
qualidade,0.00021678214
cadastre,0.00021547585
vistas,0.00021435024
cavalhada,0.00021322738
todo,0.00021187606
internas,0.00021144326
parquet,0.00020814367
caldeira,0.00020674645
puc,0.000206443
banheiros,0.00020605071
responsavel,0.00020579598
acustica,0.00020206967
diferencial,0.00020017601
otima,0.00019986709
medida,0.00019939167
enfim,0.0001989471
ambientes,0.00019867666
itens,0.00019860166
protecao,0.00019839514
salas,0.0001974717
contato,0.00019704484
ligue,0.00019589292
elevadores,0.0001954654
bancario,0.0001943925
proximo,0.00019343701
duplex,0.00019250279
dacao,0.00019238326
infraestrutura,0.0001916021
12,0.00018979805
ipa,0.00018953781
charme,0.00018893286
brasil,0.00018854957
133,0.00018748618
ii,0.00018723789
desocupado,0.00018694563
frio,0.0001862815
social,0.0001854347
banho,0.00018469291
ruas,0.00018408112
repaginado,0.00018407695
pequeno,0.00018209968
entrega,0.00018170605
farroupilha,0.00018168354
conceito,0.0001814506
privilegiada,0.0001809992
perfeita,0.00017998216
localizacao,0.00017935943
arquiteta,0.00017932277
jardim,0.00017916002
escriturados,0.00017879409
piso,0.00017774584
sendo,0.0001777012
divididos,0.00017568271
superior,0.000172656
escritura,0.00017250192
maiores,0.00017237231
descanso,0.00017211531
higienopolis,0.00016847739
coberta,0.00016752147
classe,0.0001671158
perca,0.00016645224
hs,0.00016601227
nada,0.00016600016
edificio,0.0001653477
locacao,0.00016438238
mobiliado,0.00016427283
sistemas,0.00016417693
belo,0.0001636959
esquina,0.00016324923
estrutura,0.00016291732
oferecer,0.0001628528
quiosque,0.00016270256
principais,0.0001626518
garagem,0.00016116089
zona,0.00016100425
site,0.00016072304
permitindo,0.00015974048
wallig,0.00015935536
aluminio,0.00015749525
arquiteto,0.00015662667
manha,0.00015577915
magnifica,0.00015506429
coletiva,0.0001541406
96,0.0001531631
trabalhar,0.00015269854
exclusiva,0.00015252292
ventilacao,0.00015213544
agendar,0.00015196056
elias,0.00015093127
casemiro,0.00014982226
tranquilidade,0.00014886314
assis,0.00014857529
predio,0.00014795411
amplo,0.00014705857
100,0.00014695703
agende,0.00014660948
lindoia,0.00014657615
cassol,0.00014608305
convivio,0.00014511198
partir,0.00014469783
esportes,0.00014386995
ginastica,0.00014293754
38,0.00014279711
bairros,0.00014230673
supermercado,0.00014167889
pergolado,0.0001407456
04,0.00014047562
praca,0.00014047037
construcao,0.00013981517
03,0.00013941558
empreendimentos,0.00013932816
coronel,0.00013892948
ampla,0.00013861318
fixos,0.00013836933
aceita,0.00013828289
