feature,weight,std
natural,0.37069987480685995,0.2097541829085703
vagas,0.36266399702162744,0.07640540649304624
estacionamento,0.26633777617830673,0.02480304626112108
cozinha,0.23833791927170295,0.05107121830243132
24,0.17150959570285523,0.07266709953700962
garagem,0.15429714748897821,0.017669404035984833
sendo,0.13757694331305856,0.020841489067954383
proximo,0.13492384986684555,0.06064099796818419
suite,0.1320448409627261,0.025668061293832093
auxiliadora,0.12868180366014031,0.007474134783707029
seguranca,0.12828049503751798,0.02704760312626296
completa,0.10940997968033343,0.062291309361553825
kids,0.1053613908369698,0.019075638002085702
auxiliar,0.09985405789495871,0.02257435830374845
salao,0.08395693558734366,0.006243741834563099
corretor,0.07794289537991972,0.03251108260888581
predio,0.0709863254359675,0.020542008775103426
sacada,0.05500414307759911,0.0157116251768354
jantar,0.05032210905347938,0.020606604810910405
playground,0.04922181465295807,0.02048719116374444
living,0.04674012124953606,0.013783879461651903
unidade,0.04593200395332815,0.005024649582466409
bairro,0.04507087385383102,0.03335758536562112
cada,0.044038131854847506,0.013577070948328976
coracao,0.043618384227772825,0.007106999000660861
fitness,0.04082261048095006,0.004223939679164655
individuais,0.039783127370435524,0.018317453805789728
disponivel,0.03814209081951958,0.011775426232261701
sala,0.03558319434075656,0.023449466545439487
bom,0.03463088760627216,0.00513719652860821
alto,0.031100344700519145,0.007907495846201857
lavabo,0.028145540161108328,0.00512967976185894
condominio,0.027615605176720237,0.04808733946877849
localizacao,0.02539684814512384,0.02759800512736505
deposito,0.023922235176894447,0.006024113399695141
encantador,0.0234710811173386,0.011219340574964702
escriturada,0.023249198364635505,0.0033167860085724023
andar,0.021364495583418373,0.04083347350331253
aparece,0.020739659540163304,0.003510627392458743
vista,0.020452876183526314,0.038023370243424996
banheiro,0.019748073439984637,0.0030788216036754814
gabinete,0.019304509440109995,0.002770837259439997
horas,0.018150135310759197,0.01002149185618326
alem,0.015953944934676657,0.0060154749042791765
dupla,0.01588633473544405,0.00402236172402244
amigos,0.014712333555746682,0.007968594338165005
edificio,0.013817973388256632,0.019950189093634028
americana,0.012142621138639242,0.007065570990995592
tres,0.011764438151590183,0.007496104649846374
diferenciado,0.01149947836878482,0.00728740044562182
bosque,0.01145911462759841,0.005732556885102825
apartamentos,0.01135379455962493,0.013140518197506775
especialistas,0.010587699393965977,0.003643645037571387
especiais,0.010575585469734961,0.006812789725761722
licenciado,0.010331538463663036,0.002922116548194112
parcao,0.010244396125688126,0.005969908218849208
05,0.009826899602796858,0.004630135900784278
zona,0.00976765622287985,0.0028923105638259767
portaria,0.00975864858572777,0.0027878341133849333
sauna,0.009380747041836912,0.005632058697407667
spa,0.009201611871810655,0.00544034015843241
01,0.008697599084223384,0.0085687703108006
fim,0.008684239315289232,0.004929909852947228
possibilidade,0.007998351204446408,0.003858326251147944
contato,0.007772999071073627,0.0018800086284351133
banheiros,0.007648663815689361,0.0037763136944161577
quadra,0.007583662896047371,0.005105626411782813
festas,0.007271157400430184,0.01094870064924645
piso,0.00716217840962372,0.008219159744078705
bourbon,0.007015470572991944,0.00032190736538290364
cadastre,0.006563585323613097,0.003255911787573088
distribuidos,0.006459743317452649,0.0015064985890884549
central,0.0063728943533647,0.009221385643314428
coberta,0.005998026523263889,0.005089970909836322
belas,0.005930344911450902,0.00769115346921514
residencial,0.005553203833051157,0.005755192443171196
