feature,weight,std
bairro,0.4168810027021209,0.05230315980973699
completa,0.3595094340927744,0.0765604971789006
suites,0.18665693366510822,0.019389310542483343
suite,0.18374672414954601,0.15112262487721514
ambientes,0.1619455484989885,0.019227372772100074
sacada,0.11321520816350131,0.028416263992063973
fitness,0.11231783942475886,0.025769139737717755
carros,0.09780633612531346,0.020399444489612693
proximo,0.08286902234017361,0.06932824461589998
agende,0.08178308753399506,0.018676431895026085
condominio,0.0703842118670309,0.022888571839267784
servico,0.06657259035846437,0.03990212510612151
aceita,0.06021469476734183,0.011237505019299819
andar,0.05811632746263058,0.010193531500488667
onibus,0.057186424901760805,0.009716427563885662
sendo,0.051105590043675875,0.01864021481289842
apartamentos,0.04543912599851865,0.01036767353903292
hidromassagem,0.04524231333548414,0.013018064203691195
contato,0.04501439330326775,0.020725737729031416
area,0.041946261450630115,0.053437185445767255
bourbon,0.038006331315409626,0.0018731068580279296
iguatemi,0.03658905598670117,0.002529338618033384
tres,0.0354613965336739,0.009800315461924744
bosque,0.03505470966470057,0.02493668422175389
garden,0.031835503997172054,0.004514888320552801
jantar,0.03166304115140974,0.013267378024496517
portaria,0.031243264118597836,0.012784391771135594
mont,0.029805992513843194,0.009655687251710251
ar,0.028185205958106963,0.007706084885459609
gabinete,0.026022529162401043,0.008368150301464638
transporte,0.025714145457095584,0.006401583006812911
elevadores,0.02567796152372921,0.020252520721557615
02,0.025550440004326446,0.01773578267348114
banheiros,0.025282256934201542,0.005443838325591234
sofisticacao,0.025041042323141482,0.01869836562011986
terreo,0.024298960613373312,0.014387353895845301
quadra,0.023143846181528715,0.008887255522664138
copa,0.01918261232515306,0.0250266862463831
moveis,0.018911493233395048,0.00608899199413223
pecas,0.01866076808089474,0.004722621325498258
escriturada,0.018648498038692195,0.011620745655360703
coracao,0.016966311937335377,0.00851560394739267
seguranca,0.01695271986664011,0.008463218834294428
corretor,0.015477094947095793,0.02154223666762545
piscinas,0.014240372671406477,0.0023694469520980587
visita,0.013861699079643585,0.004206373980063794
distribuidos,0.012481464344682535,0.00836264457477798
cenario,0.012480973253695992,0.00650376918755416
vista,0.012408575667291189,0.00603497492185653
energia,0.012037513683685575,0.003279182257812105
kids,0.011687755153843682,0.0013160978684966724
uniao,0.010777724231456887,0.0028279817991150053
espera,0.010563825922122305,0.0036378570439662876
rotativa,0.01039008799587009,0.0053054225398026
tv,0.009488378449805168,0.008840600426476572
cidade,0.009445345971244024,0.0016815545295515034
clube,0.009392961236176233,0.003748212805560241
vagas,0.00918281324804866,0.043844793200860606
parque,0.009083479242326576,0.0034995438094604495
whatsapp,0.00903083649434393,0.0015710745776282618
edificio,0.00892637582307998,0.007768443312547157
pastilha,0.008784925547001877,0.002497364262161528
tradicional,0.008696566259845894,0.006627605815853381
regiao,0.008680950188318094,0.0075411119710973125
ginastica,0.008523886068383035,0.0013720435638014887
20,0.008495962040228733,0.00812315945842597
agora,0.00827837578258368,0.003771495484439544
localizacao,0.008165696894957363,0.0056947879186265505
escritorio,0.008060635393144366,0.0029834810947106083
master,0.007948030330044275,0.005417422427563179
park,0.007892145756341052,0.0008734324685474998
abrir,0.007806603809376611,0.010385345772827927
dupla,0.007703140850867385,0.0015016967808306031
38,0.007569226109217198,0.002343880536878372
petropolis,0.006995669284719952,0.011986594887787761
intimo,0.006903457022235671,0.0058805335326940905
valorizada,0.0067218479984830996,0.0019999810809417087
coberta,0.00669418198913263,0.006127583861924307
gesso,0.006637642874761695,0.0053802330243194725
classe,0.00659851178450026,0.00017954887529000475
garagens,0.006330561190725348,0.00402818675064881
piso,0.006054809821966956,0.0033587120269337615
lance,0.006048279691685821,0.0005952424998741137
charmoso,0.005848591601102271,0.0014844613301963005
higienopolis,0.005735038681496008,0.006575979092218873
quiosque,0.005543664704259754,0.0015138642063996762
saibro,0.0053628703305321325,0.003813493460023734
shopping,0.0052273357755666435,0.005317770516502584
miolo,0.004886230261149649,0.0015183323954596878
vaga,0.004272358076400451,0.0013253192312930875
descoberta,0.003873894497701258,0.00043844947403311765
decorado,0.00376654983640492,0.007288952718892059
qualidade,0.003600578834789303,0.0013360602569200172
sistemas,0.0035428796130645424,0.0018536601570770229
assim,0.0034821112213421655,0.0006678199063100064
terracos,0.003283063061462599,0.0014497787437209005
108,0.003180625893423894,0.0016363450157880757
direito,0.003032882764750866,0.0035858548916962627
imovel,0.003026957897827742,0.0006125767311206978
61,0.0030175507845115134,0.0019935264294310465
coberto,0.0029653442182961953,0.03165947664709909
mall,0.0029434976159109284,0.0032243001499557998
virtual,0.0029235334788154433,0.0003076867990888425
alves,0.0029031669037976825,0.0010878588442349109
alguns,0.002670315057685002,0.0
deposito,0.00250373174158085,0.0038281568646505166
transformada,0.002481603670094046,0.000930688029745704
split,0.0024785730505755056,0.0020371139195752164
completas,0.002443741733804927,0.0012337171549590994
familia,0.002424925584182347,0.001678328269640424
europa,0.002330983038064005,0.0022868268083964575
comodidade,0.0022818879110445777,0.002044069250524428
conceito,0.0022685343689090587,0.0005499144351688301
anchieta,0.0021979699288294796,0.00030830712672486364
amigos,0.0021922459532561335,0.0009933319314837106
ainda,0.002183597203543286,0.0033800578671347717
especiais,0.00218134073775218,0.00065523641753598
independencia,0.0021781824366144064,0.0007375464260629696
hall,0.0021068173268986357,0.014160871318228036
sertorio,0.0019476723708066856,0.0010220574481479658
estrutura,0.0019115896540142785,0.0008916099527596088
sauna,0.0018702992321550482,0.00302206251006723
lindo,0.0018271589913183561,0.0021632406849047474
cada,0.0018091970040131854,0.0036183940080263704
124,0.001718303463394477,0.0018486674851239172
banheira,0.0016825196405079624,0.002520718967494324
belas,0.0016222789074845424,0.0005866252042326107
mundo,0.0016005185312451431,0.002387815802810384
deus,0.0015817272493450218,0.008634212089626673
enorme,0.0015494701180386982,0.0008889939984369461
aptos,0.001508796203052043,0.0016903638600337413
regioes,0.0014973787682492912,0.0018357890783915287
ampla,0.001326470470530694,0.009063602244136595
unico,0.001323007495557249,0.00197469122667787
parcao,0.0012939711990611613,0.0004936281148876869
massagem,0.0012896705054572521,0.0003677032874371982
04,0.0012874363730816184,0.001384441279760048
nada,0.0012099477777383072,0.0012148183992551076
desocupado,0.0012015203906230454,0.00144587012647266
integrando,0.0011611833815095452,0.0005891273682985765
automatizada,0.0011331578650924713,0.0008711886151731437
condominial,0.001131450031903114,0.0013862694156432907
visitantes,0.0011189263154392393,0.0010240308054720658
consulte,0.0011126132681738455,0.0006586816551562988
