feature,weight
sentir,0.21105218
bosque,0.092129104
suites,0.039202794
master,0.026774105
amplitude,0.024691412
cm,0.019516097
terreno,0.019108979
concebido,0.018116022
encantador,0.015954396
lajes,0.014142252
25,0.013196012
cadastre,0.013079149
nobres,0.012417516
distribuido,0.011459497
disso,0.0112646315
abrir,0.010730879
aquecida,0.008898279
varanda,0.008824431
vao,0.008083626
sofisticacao,0.0077480767
bela,0.0076012956
dependencia,0.0075433627
tv,0.007437703
suite,0.0070964573
conforto,0.0067368564
detalhe,0.0062899655
pracas,0.0062774946
fachadas,0.0061222557
20,0.006101257
futebol,0.0060387505
empreendimento,0.005772642
americanas,0.0056740963
sauna,0.005518402
lavabo,0.0053716046
coberturas,0.0053439415
unico,0.005116873
raia,0.0050356616
padrao,0.004896954
deposito,0.00471377
memorial,0.004489768
lareira,0.004452023
cinema,0.004324296
vagas,0.0039010078
jantar,0.0038450144
200,0.0038333265
espera,0.0036846022
conversar,0.0036564795
piscina,0.0036342237
adega,0.0035625133
conforme,0.0034382711
ventos,0.003406497
requinte,0.0033688406
moinhos,0.0032360095
spa,0.003184722
elevadores,0.0031757706
seca,0.003162931
exclusivo,0.0030070536
cenario,0.0029321655
sobre,0.0029162625
traz,0.0028695797
amigos,0.002725015
energia,0.0026968159
intimo,0.0025589974
filhos,0.0025490033
vista,0.0025455267
gerador,0.0024360453
shopping,0.002275983
onibus,0.0022723926
projeto,0.002151743
termica,0.001974175
uniao,0.0019656017
empregada,0.0019485672
condicoes,0.0018514514
blindada,0.0018432434
aproveitar,0.0018357737
maior,0.001835428
guarita,0.0017011317
personalizacao,0.0016805211
nilo,0.0016500992
belissimo,0.0015658682
57,0.0015595484
lugar,0.0015511652
sacada,0.0015399205
lavanderia,0.0015291558
internacional,0.0015148843
pe,0.0014948215
cobertura,0.0014701072
exclusividade,0.001445681
dormitorio,0.0014428548
carros,0.0013793691
exuberante,0.0012973243
29,0.0012737205
auxiliar,0.0012294353
meio,0.0012152464
garden,0.0011992877
apartamento,0.0011965611
dormitorios,0.001186069
cozinha,0.001184516
153,0.0011795949
superior,0.001175374
sistemas,0.0011467781
escolha,0.0011310105
residencial,0.0010995363
total,0.0010981973
seguranca,0.0010782196
ponto,0.0010680065
privativa,0.0010676797
individuais,0.0010594667
anchieta,0.0010262472
totalmente,0.0010108666
dupla,0.0010096866
luxo,0.0009824599
gabinete,0.0009787912
moderna,0.0009682721
jacuzzi,0.0009552259
decorado,0.00095231686
predio,0.00092510623
zelador,0.00091146654
direito,0.0009059989
saibro,0.0009038526
imponente,0.00089063647
closet,0.0008686794
casa,0.00086545834
pergolado,0.0008622964
aquecido,0.00086002843
horas,0.0008477924
terracos,0.000830629
encol,0.00082967314
guaiba,0.0008219381
separada,0.00082107185
sofisticado,0.00082029053
contemporaneo,0.0007978575
estacionamento,0.0007943482
especiais,0.0007912131
edificio,0.0007816516
360,0.0007792787
conceito,0.00075452466
vento,0.00075425074
valorizada,0.00074390706
transporte,0.0007396744
playground,0.0007354118
quadra,0.0007271148
finamente,0.0007095472
sociais,0.0007037892
jardim,0.0006939669
entrada,0.0006809422
europa,0.0006733652
tipo,0.000660227
coberto,0.00065946806
disponivel,0.00065731624
copa,0.00064963836
